row,column,ID,Drought Score,Stem damage,Root damage,Top dieback,SPAD
16,53,LCOR-1208,,,,,#N/A
1,54,LCOR-1074,,,,,#N/A
2,54,LCOR-590,1,,,,#N/A
3,54,LCOR-038,1,bio,,,#N/A
4,54,LCOR-1038,,,,,#N/A
5,54,LCOR-205,3,,,,#N/A
6,54,LCOR-1138,,,,,#N/A
7,54,LCOR-1252,,,,,#N/A
8,54,LCOR-1182,,,,,#N/A
9,54,LCOR-1107,,,,,#N/A
10,54,LCOR-1123,,,,,#N/A
11,54,LCOR-1133,,,,,#N/A
12,54,LCOR-1179,,,,,#N/A
13,54,LCOR-1190,,,,,#N/A
14,54,LCOR-1013,,,,,#N/A
15,54,LCOR-1251,,,,,#N/A
16,54,LCOR-1045,,,,,#N/A
1,55,LCOR-1084,,,,,#N/A
2,55,LCOR-1176,,,,,#N/A
3,55,LCOR-1055,,,,,#N/A
4,55,LCOR-1067,,,,,#N/A
5,55,LCOR-1146,,,,,#N/A
6,55,LCOR-1036,,,,,#N/A
7,55,LCOR-1157,,,,,#N/A
8,55,LCOR-1184,,,,,#N/A
9,55,LCOR-1232,,,,,#N/A
10,55,LCOR-1258,,,,,#N/A
11,55,LCOR-1012,,,,,#N/A
12,55,LCOR-1109,,,,,#N/A
13,55,LCOR-1000,,,,,#N/A
14,55,LCOR-1125,,,,,#N/A
15,55,LCOR-1130,,,,,#N/A
16,55,LCOR-1195,,,,,#N/A
