"","date","SPAD","Midday_WP","ID","Response_curve","E","Emm","A","Ca","Ci","CO2_r_sp","Qin","gsw","RHcham","VPcham","VPDleaf","Fm","Fv.Fm","Fs","Fm.","PhiPS2","ETR","PhiCO2","NPQ","Fmin","Fo.","Fv..Fm.","qP","qN","qP_Fo","qN_Fo","Tleaf","sample_date"
"199","20230622 09:43:01",34.8,NA,"LCOR-073","Q",0.002638317,2.638317498,18.05942101,412.4921613,241.5122935,431.63,1800.004194,0.18227302,61.49835576,2.321620414,1.466297547,2656.45,"0.764352124",688.7386,942.96,"0.269599347","203.9772533",0.012943174,"1.817139645",495.77,"495.77","0.474240689","0.568486326","0.793032749","0.802028058","0.843891187",27.9686871,"Jun22"
"200","20230622 09:44:43",34.8,NA,"LCOR-073","Q",0.002732246,2.732246385,17.58713344,410.1193871,243.2298215,428.719,1500.001613,0.182375912,60.0334681,2.277104755,1.517979707,2656.45,"0.764352124",668.69788,989.468,"0.32418443","204.4327207",0.015154598,"1.684725529",494.63,"494.63","0.500105107","0.648232593","0.771101202","0.88249439","0.820986069",28.00110645,"Jun22"
"201","20230622 09:46:18",34.8,NA,"LCOR-073","Q",0.002467672,2.467671656,16.59918666,410.1211613,238.7198153,427.583,999.9997097,0.166790092,60.21734679,2.301066856,1.494679231,2656.45,"0.764352124",683.4666,1237.63,"0.44776177","188.3272706",0.021547015,"1.146400782",500.86,"500.86","0.59530716","0.752152503","0.658204946","0.90602397","0.698766666",28.00409677,"Jun22"
"202","20230622 09:48:25",34.8,NA,"LCOR-073","Q",0.002259347,2.259346887,14.84334522,409.8575806,242.6777674,425.623,600.0074516,0.152787648,59.9667014,2.306093803,1.490027749,2656.45,"0.764352124",801.07172,1921.8,"0.583165928","147.3084064",0.032401628,"0.382271828",570.23,"570.23","0.70328338","0.829204762","0.352144069","0.864884136","0.361813994",28.00579355,"Jun22"
"203","20230622 09:50:03",34.8,NA,"LCOR-073","Q",0.002217464,2.217463514,9.740970986,410.1915161,293.2861273,420.785,299.9936774,0.147414867,58.82732324,2.268870643,1.514502543,2656.45,"0.764352124",882.3346154,2342.43,"0.623325087","78.81322322",0.044554751,"0.134057368",633.19,"633.19","0.729686693","0.854236611","0.155204966","0.850651734","0.154654367",27.9481,"Jun22"
"204","20230622 09:51:44",34.8,NA,"LCOR-073","Q",0.002199191,2.199191116,5.047594096,410.2381935,342.8126124,416.146,150.019,0.142635132,57.11526825,2.222550716,1.551412671,2656.45,"0.764352124",873.6731154,2532.35,"0.654995117","41.41237189",0.051985607,"0.049005864",660.78,"660.78","0.739064505","0.886248916","0.06218463","0.870073911","0.061119059",27.90540645,"Jun22"
"205","20230622 09:53:55",34.8,NA,"LCOR-073","Q",0.003878954,3.878953948,0.512792196,409.9331613,391.4479788,412.138,49.98753871,0.18422682,41.23812327,1.632278038,2.141030589,2656.45,"0.764352124",803.1826154,2697.91,"0.702294511","14.79192033",0.048399961,"-0.015367451",669.93,"669.93","0.751685564","0.934292934","-0.020870668","0.914477614","-0.020418986",27.90243226,"Jun22"
"206","20230622 09:55:14",34.8,NA,"LCOR-073","Q",0.003807199,3.807198907,-2.021520997,410.3029032,414.6467424,409.602,0.0499931,0.170748229,40.09735664,1.61866952,2.260681859,2860.53,"0.785036743",0,0,"#DIV/0!","#DIV/0!",-2.12e-14,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.273825728",28.37835484,"Jun22"
"221","20230622 10:36:39",28,NA,"LCOR-164","Q",0.002904679,2.90467869,14.89235404,413.0599,277.1779855,428.706,1799.995,0.19298293,60.60825503,2.374840733,1.525694625,2860.53,"0.785036743",679.2658,858.886,"0.209131596","158.2269255",0.011177698,"2.330511849",490.66,"490.66","0.428725116","0.487798797","0.844621857","0.736217294","0.891354268",28.47206667,"Jun22"
"222","20230622 10:38:24",28,NA,"LCOR-164","Q",0.002722305,2.722304726,14.77624434,409.8858065,269.0798608,426.017,1499.976452,0.183688317,60.81873463,2.410787146,1.499383853,2860.53,"0.785036743",647.93416,878.288,"0.262275973","165.3900816",0.013318968,"2.256938499",482.02,"482.02","0.4511823","0.581308206","0.833396538","0.874609234","0.882714342",28.51454516,"Jun22"
"223","20230622 10:39:59",28,NA,"LCOR-164","Q",0.002559876,2.559876057,14.81160049,409.8982903,262.5752156,425.577,1000.000194,0.175012366,59.61031804,2.338542287,1.478742459,2860.53,"0.785036743",641.1473462,1027.91,"0.376261204","158.2544206",0.020010975,"1.782860367",484.34,"484.34","0.528810888","0.711523178","0.77124304","0.9364687","0.816086007",28.10119677,"Jun22"
"224","20230622 10:41:37",28,NA,"LCOR-164","Q",0.002409185,2.409185145,13.38717943,409.9984516,266.6136239,424.335,600.0349355,0.162634364,58.8927998,2.303921559,1.494610595,2860.53,"0.785036743",701.20128,1478.87,"0.525853334","132.8372323",0.030498665,"0.93426738",522.01,"522.01","0.647021036","0.812729887","0.590826677","0.900120007","0.615268518",28.01668387,"Jun22"
"225","20230622 10:43:15",28,NA,"LCOR-164","Q",0.002315716,2.315716264,8.691233575,410.2868065,310.1339255,420.002,300.0014194,0.156001114,58.37169376,2.279231558,1.496256201,2860.53,"0.785036743",756.6485385,1864.69,"0.59422288","75.13546914",0.042361909,"0.534051236",590.91,"590.91","0.683105503","0.869884487","0.438769486","0.88658839","0.443458594",27.91232903,"Jun22"
"226","20230622 10:44:44",28,NA,"LCOR-164","Q",0.00231746,2.317460078,4.334134046,410.0347742,355.9115218,415.066,149.9941935,0.158303822,57.18462615,2.195842136,1.477572775,2860.53,"0.785036743",759.53856,2055.69,"0.630518921","39.85816018",0.050270268,"0.391518176",629.41,"629.41","0.693820566","0.908763665","0.360733623","0.899617153","0.358404176",27.44330968,"Jun22"
"227","20230622 10:46:24",28,NA,"LCOR-164","Q",0.002275633,2.275632975,0.21718292,410.3535806,397.9442519,411.189,49.9959129,0.150132365,56.23198385,2.157205899,1.527759813,2860.53,"0.785036743",751.6761923,2239,"0.664280396","13.9935465",0.053136177,"0.277592675",654.22,"654.22","0.707807057","0.938504908","0.281705653","0.915788381","0.276774201",27.49695161,"Jun22"
"228","20230622 10:47:43",28,NA,"LCOR-164","Q",0.002227053,2.227053466,-2.355931826,410.4436452,425.9187112,408.724,0.0499931,0.150877048,57.51123463,2.209329666,1.487459865,2594.77,"0.748372457",0,0,"#DIV/0!","#DIV/0!",2.71e-12,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.336233036",27.55170968,"Jun22"
"243","20230622 11:33:21",27.2,NA,"LCOR-199","Q",0.00169253,1.692529948,12.60944023,411.2480645,223.5363557,424.567,1800.039032,0.114122132,62.07638259,2.287255511,1.482901426,2594.77,"0.748372457",673.30804,860.585,"0.217615878","164.6500715",0.00988977,"2.015123433",487.78,"487.78","0.43319951","0.502345623","0.823062758","0.901803347","0.893056143",27.88810968,"Jun22"
"244","20230622 11:35:01",27.2,NA,"LCOR-199","Q",0.001593107,1.593107205,12.9279239,409.9278667,202.3841358,423.533,1500.002333,0.10517873,61.57454153,2.291452428,1.511642384,2594.77,"0.748372457",644.8232692,877.814,"0.265421525","167.3764701",0.012118383,"1.955945109",477.71,"477.71","0.455795875","0.582325422","0.811009608","1.035982162","0.884183696",28.03728,"Jun22"
"245","20230622 11:37:07",27.2,NA,"LCOR-199","Q",0.001513796,1.513796385,13.08759286,409.9265484,185.7657478,423.626,1000.04571,0.098165045,59.56387287,2.24323715,1.537576623,2594.77,"0.748372457",630.58516,1036.59,"0.391673506","164.7442362",0.018358213,"1.503178692",479.09,"479.09","0.537821125","0.728259803","0.736491341","1.058201538","0.802418554",27.93649677,"Jun22"
"246","20230622 11:38:52",27.2,NA,"LCOR-199","Q",0.001536904,1.536904228,12.31532333,409.9562258,203.8574236,422.899,600.0408387,0.100886252,59.33125624,2.277359483,1.519321045,2594.77,"0.748372457",708.3682,1610.37,"0.560120842","141.4950124",0.029038747,"0.611288089",523.37,"523.37","0.675000155","0.829808464","0.475234141","0.942083299","0.50693811",28.00831935,"Jun22"
"247","20230622 11:40:15",27.2,NA,"LCOR-199","Q",0.001438123,1.438122898,8.483950709,410.2660645,257.9118196,419.424,300.0067742,0.095595111,59.6205345,2.308726929,1.49850261,2594.77,"0.748372457",768.173,2065.94,"0.628172648","79.42943985",0.042863941,"0.255975488",591.72,"591.72","0.713583163","0.880307552","0.264012381","0.918432123","0.272332467",28.05592581,"Jun22"
"248","20230622 11:41:58",27.2,NA,"LCOR-199","Q",0.001505573,1.505572931,4.382186492,410.1524839,331.4375609,415.102,149.9662903,0.102076239,59.86206819,2.300529305,1.471272755,2594.77,"0.748372457",756.11576,2252.56,"0.664330468","41.98783814",0.053305165,"0.151920482",636.57,"636.57","0.717401534","0.926023206","0.17475743","0.935485562","0.176228455",27.8955871,"Jun22"
"249","20230622 11:43:43",27.2,NA,"LCOR-199","Q",0.001269027,1.269027216,0.568763034,410.1907667,389.4364592,411.261,50.01925667,0.084088754,59.51827148,2.303293045,1.500106911,2594.77,"0.748372457",716.58948,2371.13,"0.697785663","14.70622485",0.069385929,"0.094317899",636.07,"636.07","0.731743936","0.953592683","0.114177771","0.962941831","0.115168264",28.03865667,"Jun22"
"250","20230622 11:45:01",27.2,NA,"LCOR-199","Q",0.001166858,1.16685752,-1.760216107,410.3190968,436.4084593,408.74,0.0499931,0.078639987,60.08714818,2.317512591,1.473421705,2604.39,"0.77075822",0,0,"#DIV/0!","#DIV/0!",0,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.297423724",27.98233871,"Jun22"
"265","20230623 08:19:49",32.8,NA,"LCOR-573","Q",0.002591773,2.591772958,23.13768331,411.5224194,241.4593673,435.916,1800.008387,0.234147729,63.60493169,2.044552292,1.137761268,2604.39,"0.77075822",759.39636,1027.48,"0.260913731","197.4062971",0.016453892,"1.534735469",529.43,"529.43","0.48472963","0.538266519","0.759971277","0.622805794","0.785566081",25.0139,"Jun22"
"266","20230623 08:22:17",32.8,NA,"LCOR-573","Q",0.004329536,4.329535608,22.85266833,411.9840333,269.4408339,437.134,1499.966333,0.285621267,49.22220859,1.579958737,1.576519076,2604.39,"0.77075822",738.03824,1058.76,"0.30292206","191.0200277",0.019515717,"1.459849258",520.39,"520.39","0.508491065","0.595727399","0.741665067","0.694616406","0.769983386",24.87722667,"Jun22"
"267","20230623 08:24:39",32.8,NA,"LCOR-573","Q",0.003845783,3.845782772,21.49086524,410.101,267.995443,434.38,1000.005742,0.267708851,51.87265814,1.699825188,1.488166252,2604.39,"0.77075822",765.19716,1345.54,"0.431308501","181.4081599",0.027640402,"0.935572335",550.53,"550.53","0.590848284","0.729981812","0.612919089","0.775335956","0.627118771",25.04380645,"Jun22"
"268","20230623 08:26:48",32.8,NA,"LCOR-573","Q",0.003535681,3.535680986,19.42861708,410.1604194,267.5978349,431.171,599.9923226,0.240455713,51.01231303,1.678039454,1.515966534,2604.39,"0.77075822",862.28132,1994.98,"0.567774454","143.4168115",0.041942357,"0.305471734",611.35,"611.35","0.693555825","0.818642759","0.305769076","0.810259831","0.303588553",25.07543548,"Jun22"
"269","20230623 08:29:05",32.8,NA,"LCOR-573","Q",0.00334141,3.341410375,12.49129385,409.8052667,309.9602009,424.069,300.0152,0.227476454,50.64516773,1.651069522,1.511355947,2604.39,"0.77075822",887.8703077,2461.31,"0.639269207","80.8349362",0.056352809,"0.058131645",679.94,"679.94","0.723748735","0.883275059","0.074348515","0.84399549","0.071277876",24.90877667,"Jun22"
"270","20230623 08:30:32",32.8,NA,"LCOR-573","Q",0.003278429,3.278429259,5.81262809,410.547871,357.4239106,418.118,150.0220968,0.220544388,50.62517895,1.677084521,1.527076306,2604.39,"0.77075822",859.395,2545.16,"0.662341464","41.87773818",0.059886337,"0.023271621",703.65,"703.65","0.72353408","0.915425385","0.031161548","0.865326917","0.02950649",25.12871935,"Jun22"
"271","20230623 08:32:34",32.8,NA,"LCOR-573","Q",0.004673411,4.673411079,0.944170219,410.0372,391.7322263,412.965,50.02357667,0.256451742,38.84223831,1.275763774,1.888421788,2604.39,"0.77075822",825.25364,2754.3,"0.70037627","14.76215461",0.064153508,"-0.054427622",717.87,"717.87","0.739363904","0.947268681","-0.079463775","0.89420927","-0.074680363",24.91810333,"Jun22"
"272","20230623 08:33:55",32.8,NA,"LCOR-573","Q",0.004391096,4.39109555,-1.552555494,410.2494194,408.5589871,410.25,0.0499931,0.241064149,38.24278955,1.236528673,1.883154772,2989.46,"0.774107832",0,0,"#DIV/0!","#DIV/0!",2.73e-12,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.291809692",24.68088387,"Jun22"
"287","20230623 09:22:18",30.2,NA,"LCOR-456","Q",0.002902398,2.902398345,16.97841526,411.5379333,265.4948425,429.579,1800.052333,0.203212954,54.70992833,1.698490248,1.463169929,2989.46,"0.774107832",685.1166923,848.699,"0.192744787","145.8334677",0.012245982,"2.522403113",525.93,"525.93","0.380310334","0.506809228","0.868981096","0.943362747","0.925068677",24.90472,"Jun22"
"288","20230623 09:24:01",30.2,NA,"LCOR-456","Q",0.002642791,2.64279078,16.48152946,410.0176774,253.1110629,427.491,1499.958387,0.182191307,54.27806215,1.686089188,1.480440197,2989.46,"0.774107832",688.01916,900.721,"0.236146198","148.9109762",0.014299418,"2.318963364",530.47,"530.47","0.411060695","0.574480123","0.849429644","0.943557558","0.902588857",24.93051613,"Jun22"
"289","20230623 09:25:43",30.2,NA,"LCOR-456","Q",0.002482395,2.482394702,15.75357008,410.0383667,251.3003608,426.831,999.9957667,0.17168218,53.76899865,1.687489857,1.473000372,2989.46,"0.774107832",723.3895769,1114.66,"0.351022216","147.6382284",0.020573379,"1.681947859",550.39,"550.39","0.506226114","0.693409933","0.768653626","0.890537383","0.810141233",24.89851667,"Jun22"
"290","20230623 09:27:12",30.2,NA,"LCOR-456","Q",0.002555591,2.555591055,14.17895224,409.9572258,268.5969784,425.169,599.9910968,0.175102058,51.71807828,1.622037267,1.488609894,2989.46,"0.774107832",829.39084,1635.76,"0.492963002","124.5196644",0.031139866,"0.827566391",596.46,"596.46","0.635362156","0.775877187","0.565691601","0.839561737","0.584962762",24.63235484,"Jun22"
"291","20230623 09:28:52",30.2,NA,"LCOR-456","Q",0.002213957,2.213956751,9.408821815,410.2289032,296.3050993,420.655,299.9856452,0.146504984,51.42029467,1.686463601,1.5320138,2989.46,"0.774107832",855.5447308,2095.89,"0.591798839","74.82497356",0.043347362,"0.42634394",683.62,"683.62","0.673828302","0.878263554","0.38752472","0.873117105","0.386130735",25.20359032,"Jun22"
"292","20230623 09:30:33",30.2,NA,"LCOR-456","Q",0.002310349,2.310348659,4.821670797,410.2953226,349.1838441,416.183,149.9875806,0.15288552,49.92435106,1.635430421,1.534551098,2989.46,"0.774107832",834.80924,2247.92,"0.628630361","39.73720475",0.05041915,"0.329878287",697.32,"697.32","0.689793231","0.911331588","0.323514271","0.898568508","0.320435316",24.94878387,"Jun22"
"293","20230623 09:32:03",30.2,NA,"LCOR-456","Q",0.003138805,3.138804833,0.577318011,410.1711333,393.3035893,412.093,49.99284,0.179412763,41.67644908,1.370998267,1.787597336,2989.46,"0.774107832",827.2124615,2421.99,"0.658457524","13.87006884",0.05055603,"0.234299068",729.11,"729.11","0.698962423","0.942049961","0.25105404","0.913026079","0.245215941",24.88846667,"Jun22"
"294","20230623 09:33:21",30.2,NA,"LCOR-456","Q",0.003062148,3.062148002,-1.634995167,410.2534194,413.933908,409.749,0.0499931,0.166547613,40.25945438,1.35707578,1.873680662,2780.22,"0.732192416",0,0,"#DIV/0!","#DIV/0!",-1.06e-14,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.365761209",25.26757419,"Jun22"
"309","20230623 10:22:39",30.15,NA,"LCOR-089","Q",0.000534574,0.53457426,3.389391046,412.1425484,217.5217006,415.666,1799.974839,0.029386853,43.39928542,1.366250487,1.808013116,2780.22,"0.732192416",522.01004,583.691,"0.105673995","79.95101605",0.003320452,"3.763170924",410.76,"410.76","0.296271486","0.356679601","0.927016704","-0.383413997","1.079027596",24.97141935,"Jun22"
"310","20230623 10:24:18",30.15,NA,"LCOR-089","Q",0.000103709,0.103708829,3.15468904,410.0612581,-341.2881543,413.157,1500.031613,0.006732819,52.51086357,1.673601602,1.52197575,2780.22,"0.732192416",510.10692,581.043,"0.122084045","76.98848163",0.003797607,"3.784878228",406.59,"406.59","0.300241118","0.406620007","0.92650371","-0.433804099","1.080328405",25.08369032,"Jun22"
"311","20230623 10:25:53",30.15,NA,"LCOR-089","Q",0.00029658,0.296580293,2.978329524,410.0940645,156.1171243,413.18,1000.000323,0.019352054,51.78386913,1.65779581,1.518111913,2780.22,"0.732192416",493.03292,602.377,"0.181521008","76.347208",0.005484257,"3.615415263",399.89,"399.89","0.336146632","0.540005432","0.914933224","-0.769016014","1.069848245",24.98010323,"Jun22"
"312","20230623 10:27:25",30.15,NA,"LCOR-089","Q",0.000249461,0.249461158,2.95034635,410.0020323,111.2924289,413.009,600.0107097,0.01619366,50.96676891,1.635500247,1.525346356,2780.22,"0.732192416",490.0108846,686.041,"0.285741108","72.17889934",0.009076202,"3.052556626",406.87,"406.87","0.40693049","0.702186529","0.882372596","-3.349625197","1.028748963",24.90040645,"Jun22"
"313","20230623 10:28:54",30.15,NA,"LCOR-089","Q",0.000156194,0.156194146,2.681640458,410.0570323,-17.20333194,412.858,299.9962258,0.01017374,51.4750836,1.686603743,1.5177584,2780.22,"0.732192416",548.1208,995.562,"0.449435796","56.82714179",0.017069753,"1.792613619",436.85,"436.85","0.561202617","0.800844084","0.761577557","1.782648467","0.876699207",25.12977419,"Jun22"
"314","20230623 10:30:22",30.15,NA,"LCOR-089","Q",0.000357802,0.357801704,1.861494623,410.0523871,276.4621795,411.915,149.9835161,0.02385744,51.06481261,1.653680095,1.487219236,2780.22,"0.732192416",574.8398,1211.04,"0.525333763","33.20664745",0.027657476,"1.295729291",491.02,"491.02","0.594546836","0.883586845","0.685470907","1.36384337","0.770847334",24.79434194,"Jun22"
"315","20230623 10:31:45",30.15,NA,"LCOR-089","Q",0.000334018,0.334017815,0.433491133,410.0633548,368.8135629,410.529,49.99788387,0.021937218,51.05027809,1.680467254,1.508787001,2780.22,"0.732192416",568.65016,1293.32,"0.560317508","11.80378516",0.049094806,"1.149676801",539.95,"539.95","0.582508583","0.961904297","0.663714642","1.320568413","0.730427931",25.05045161,"Jun22"
"316","20230623 10:33:05",30.15,NA,"LCOR-089","Q",0.000281949,0.28194939,-0.90771383,410.1896774,477.9053337,409.291,0.0499931,0.018544766,51.06793125,1.678311691,1.505675346,1513.11,"0.635438575",0,0,"#DIV/0!","#DIV/0!",0,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.573716233",25.02271935,"Jun22"
"331","20230623 11:12:50",29.6,NA,"LCOR-229","Q",0.002052342,2.052342038,13.52327091,412.030871,241.2055805,426.477,1799.944839,0.135849732,51.74752933,1.674068382,1.528983868,1513.11,"0.635438575",692.4497308,856.081,"0.191139938","144.6106143",0.00953712,"0.767484619",504.59,"504.59","0.410581475","0.465534734","0.651478404","0.537448462","0.683345694",25.12290968,"Jun22"
"332","20230623 11:14:12",29.6,NA,"LCOR-229","Q",0.001985843,1.985843357,13.25763408,410.129,240.5156389,424.108,1499.990968,0.133987187,52.06493478,1.682636281,1.499613636,1513.11,"0.635438575",656.49996,852.689,"0.230082762","145.0905926",0.011231612,"0.774515679",491.45,"491.45","0.42364684","0.543100385","0.646419552","0.651644781","0.686873557",25.01356452,"Jun22"
"333","20230623 11:15:43",29.6,NA,"LCOR-229","Q",0.001938556,1.938556352,12.90944611,410.0838387,241.5807379,423.853,1000.036097,0.131297707,51.27757752,1.649788792,1.493731714,1513.11,"0.635438575",665.1609615,1021.65,"0.348934604","146.7661517",0.016425058,"0.481045368",499.85,"499.85","0.510742426","0.683190951","0.485028522","0.758441387","0.51114498",24.8083129,"Jun22"
"334","20230623 11:17:03",29.6,NA,"LCOR-229","Q",0.001761321,1.761321136,12.15585794,409.9526129,230.2648375,422.891,600.0049677,0.115366381,49.8635106,1.636025201,1.539982097,1513.11,"0.635438575",762.61848,1557.98,"0.510508171","128.9544256",0.025858206,"-0.028800113",548.87,"548.87","0.647704078","0.788181189","-0.046534058","0.790336198","-0.046667227",24.98062903,"Jun22"
"335","20230623 11:18:30",29.6,NA,"LCOR-229","Q",0.001732806,1.732805904,8.972842463,410.1702258,277.2962508,419.928,300.0063226,0.117397576,51.08664148,1.686273153,1.488948615,1513.11,"0.635438575",804.69208,2078.39,"0.612829123","77.4893421",0.039070487,"-0.271979754",636.48,"636.48","0.693762961","0.883340791","-0.644833054","0.834244322","-0.587921772",24.97648065,"Jun22"
"336","20230623 11:19:54",29.6,NA,"LCOR-229","Q",0.001765241,1.765240664,4.78243425,410.2841333,335.5709377,415.893,150.0064,0.118743789,50.51353583,1.668251292,1.500182019,1513.11,"0.635438575",773.0203846,2157.91,"0.641773575","40.57298384",0.045002688,"-0.298807643",661.59,"661.59","0.693411681","0.925530378","-0.757234123","0.862167443","-0.670626873",24.94059333,"Jun22"
"337","20230623 11:21:14",29.6,NA,"LCOR-229","Q",0.001628086,1.628086031,0.91100571,410.306129,386.8782612,411.703,49.99319677,0.108397527,50.92104878,1.706501288,1.512185631,1513.11,"0.635438575",751.4711154,2245.07,"0.665279428","14.01386083",0.043169998,"-0.326029923",658.83,"658.83","0.706543671","0.941597037","-0.856815096","0.88198662","-0.761277986",25.20468387,"Jun22"
"338","20230623 11:22:32",29.6,NA,"LCOR-229","Q",0.001739491,1.739491376,-1.242991638,410.226129,417.4515458,409.446,0.0499931,0.11804481,50.68978062,1.667403954,1.487012654,2575.47,"0.748880189",0,0,"#DIV/0!","#DIV/0!",2.7e-12,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.335327084",24.86628065,"Jun22"
"353","20230718 09:57:29",33.7,1.33,"LCOR-228","Q",0.001784376,1.784375667,10.70964547,409.9958333,235.5244759,421.472,1499.970333,0.10524584,59.5480928,2.540228171,1.696575723,3073.57,"0.76982805",574.84536,758.777,"0.242405397","152.8591709",0.009762529,"3.050689465",448.72,"448.72","0.408627304","0.593218795","0.881876298","3.583498093","0.978307359",29.90314,"July18"
"354","20230718 09:58:38",33.7,1.33,"LCOR-228","Q",0.001779439,1.779438726,10.53960493,409.9621667,231.1392292,421.207,999.997,0.101020694,58.11405004,2.546291805,1.760579399,3073.57,"0.76982805",601.2155,966.346,"0.377846548","158.9206541",0.014434675,"2.180610258",465.83,"465.83","0.517946988","0.729508148","0.808065221","1.410334404","0.890581899",30.1888,"July18"
"355","20230718 10:00:21",33.7,1.33,"LCOR-228","Q",0.001477482,1.47748184,9.365783942,409.9733226,231.370078,420.032,499.9912903,0.08941434,58.70915244,2.525170341,1.649361507,3073.57,"0.76982805",718.96828,1659.78,"0.56682917","119.3687604",0.026042276,"0.851793611",517.76,"517.76","0.688055043","0.823813699","0.553167098","0.987904744","0.597513973",29.64578387,"July18"
"356","20230718 10:01:49",33.7,1.33,"LCOR-228","Q",0.001603031,1.603030977,6.946927599,409.8577333,276.2381527,417.154,250.0016333,0.091084825,57.06902084,2.544626267,1.755900116,3073.57,"0.76982805",722.7378462,1885.25,"0.616635541","64.97376687",0.040570352,"0.630324891",584.2,"584.2","0.690120674","0.89351843","0.477357725","0.987019663","0.502222964",30.1631,"July18"
"357","20230718 10:03:35",33.7,1.33,"LCOR-228","Q",0.001486861,1.486860543,3.671927892,409.8742667,330.5525651,413.963,125.011,0.086353059,57.10884519,2.54138338,1.716787795,3073.57,"0.76982805",697.8853846,2004.66,"0.651868454","34.34347191",0.050058672,"0.533212615",601.1,"601.1","0.700148654","0.93104293","0.43232476","1.00737291","0.451756386",29.99068667,"July18"
"358","20230718 10:05:24",33.7,1.33,"LCOR-228","Q",0.00137541,1.375410058,0.521517195,410.0371613,388.7462731,411.1,49.97049032,0.081529195,57.25671997,2.541003263,1.680883708,3073.57,"0.76982805",666.9950769,2086.94,"0.680395662","14.32573499",0.050444965,"0.472763951",596.57,"596.57","0.714141279","0.952746582","0.398316512","1.029325701","0.416982162",29.84179355,"July18"
"359","20230718 10:06:57",33.7,1.33,"LCOR-228","Q",0.001441448,1.441447572,-2.162177924,410.3993548,440.8149749,408.736,0.0499931,0.082550078,56.73872294,2.556090098,1.739343716,2339.08,"0.730316364",0,0,"#DIV/0!","#DIV/0!",2.71e-12,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.369269607",30.14244839,"July18"
"374","20230718 10:42:40",36.6,1.31,"LCOR-070","Q",0.001302291,1.302291149,11.38591322,411.5468,194.0349661,422.864,1499.959333,0.087879143,63.63009353,2.720579704,1.476844672,2339.08,"0.730316364",736.24836,1032.94,"0.287230275","181.1240651",0.010742421,"1.264487773",538.84,"538.84","0.478343369","0.600468812","0.725536595","0.737803249","0.764598818",29.74078,"July18"
"375","20230718 10:43:49",36.6,1.31,"LCOR-070","Q",0.001479875,1.479874872,11.31641779,409.9400667,209.0934985,421.813,999.9719333,0.095236744,62.2668703,2.731452511,1.549842491,2339.08,"0.730316364",730.7978846,1235.64,"0.408567314","171.8374359",0.016023614,"0.893010909",546.18,"546.18","0.557978052","0.732228288","0.61544983","0.834686525","0.64594065",30.085,"July18"
"376","20230718 10:45:35",36.6,1.31,"LCOR-070","Q",0.00136949,1.369489709,9.40933484,409.9608065,228.8585622,420.007,499.9868387,0.088229462,61.14159074,2.708546988,1.546383988,2339.08,"0.730316364",894.865,2136.33,"0.581120426","122.3772617",0.027474231,"0.09490575",636.42,"636.42","0.702096586","0.827692995","0.119078383","0.824609649","0.118687438",29.97743548,"July18"
"377","20230718 10:47:28",36.6,1.31,"LCOR-070","Q",0.001470795,1.47079503,6.348322595,409.6853,288.6221035,416.671,250.0156667,0.092030326,60.065984,2.720223066,1.592654827,2339.08,"0.730316364",912.10284,2414.53,"0.622244147","65.56843376",0.040382306,"-0.031248317",688.55,"688.55","0.71483063","0.870477734","-0.045712589","0.842300646","-0.044167532",30.2131,"July18"
"378","20230718 10:49:07",36.6,1.31,"LCOR-070","Q",0.001299643,1.299642733,3.005989418,409.9260323,341.5102851,413.359,125.0230323,0.082807407,60.20537364,2.694646545,1.561980826,2339.08,"0.730316364",857.925,2448.01,"0.649541873","34.22419116",0.049043396,"-0.044497367",699.72,"699.72","0.714167834","0.90950872","-0.066446662","0.875020031","-0.063766326",29.98437419,"July18"
"379","20230718 10:50:27",36.6,1.31,"LCOR-070","Q",0.00036225,0.362250382,-0.07414115,410.6507273,405.3215028,410.507,50.03317273,0.02219158,58.92486465,2.597749663,1.607444226,2339.08,"0.730316364",808.9050769,2498.53,"0.676247603","14.25636987",0.04952277,"-0.063817525",699.27,"699.27","0.720127435","0.939066574","-0.097236875","0.904646505","-0.093340133",29.77291818,"July18"
"380","20230718 10:51:56",36.6,1.31,"LCOR-070","Q",0.001225618,1.225617793,-2.729348923,410.4604516,456.63661,408.235,0.0499931,0.077105456,60.13386931,2.686816381,1.580184344,2717.45,"0.75380846",0,0,"#DIV/0!","#DIV/0!",2.71e-12,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.326596945",30.02675161,"July18"
