Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,time(hour),gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
73,12:14:43,9/2/22,Auto gsw+F,LI-COR Default,,73,LCOR-576,12,0.431013,2.917619,0.375536,7.693527,2.117846,1.9039,4.111677,1.993831,18.956064,21.08621,40.937668,0.441786,PSF-00336_20220902121443,0,0,0,198.327545,325.199005,0.390135,0.5,0.8,240.962082,50.62,45.5,29.69,29.38,100.44,156.2,155,0.8,1544,3.963,-12,176,90,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:05:11,9/2/22,-0.19,-0.002,-0.001,0.004,-0.991,-1.214,-10.798,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,312.934387,25,-8.714792,314.029449,312.749146,1.280304,2.458074,2.452903,1.657557,0.92677,0.226447,-0.004607,0.483697,1.513139,198.327545,0.001163,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902121443,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
74,12:15:47,9/2/22,Auto gsw+F,LI-COR Default,,74,LCOR-187,12,0.827761,2.916288,0.644754,11.330227,2.240798,1.925803,3.951265,1.710468,19.175339,22.311754,39.342983,0.441786,PSF-00336_20220902121547,0,0,0,141.695374,297.556427,0.523803,0.5,0.8,325.388733,53.37,45.86,29.75,28.69,100.43,156,152.9,2,1553,3.962,-21,153,121,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0.003,0.004,0.015,-0.925,-2.201,-4.554,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,270.153168,25,-19.295868,267.586823,269.99057,-2.403748,2.458552,2.456712,1.65615,0.921632,0.2259,-0.013771,0.48477,1.521259,141.695374,0.000911,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902121547,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
75,12:17:05,9/2/22,Auto gsw+F,LI-COR Default,,75,LCOR-215,12,0.544349,2.916521,0.45873,9.892902,2.106837,1.831471,4.204718,2.097881,18.235613,20.977383,41.865589,0.441786,PSF-00336_20220902121705,0,0,0,118.68882,234.489594,0.493842,0.5,0.8,324.043152,50.08,43.53,29.78,29.77,100.43,156.1,150.7,3.4,1640,3.961,-21,161,123,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0.001,0.002,0.012,-0.903,-2.692,-6.392,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,208.795303,25,-18.239586,204.49054,208.432724,-3.942184,2.455351,2.452229,1.656396,0.916104,0.225598,-0.00101,0.486272,1.600871,118.68882,0.000868,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902121705,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
76,12:17:57,9/2/22,Auto gsw+F,LI-COR Default,,76,LCOR-183,12,0.67884,2.917642,0.550708,11.239708,2.126395,1.813864,4.112632,1.986237,18.05945,21.171118,40.94677,0.441786,PSF-00336_20220902121757,0,0,0,163.929459,247.377945,0.337332,0.5,0.8,252.670319,50.5,43.08,29.8,29.39,100.44,156.2,154.8,0.9,1873,3.96,-8,162,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0.002,0.002,0.012,-1.427,-3.375,-7.438,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,234.367844,25,-9.537562,232.937698,233.752686,-0.814987,2.454721,2.452803,1.657583,0.926416,0.225468,-0.005915,0.487592,1.812309,163.929459,0.000886,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902121757,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
77,12:18:49,9/2/22,Auto gsw+F,LI-COR Default,,77,LCOR-465,12,0.362699,2.916198,0.322579,7.677741,2.073631,1.859799,4.387146,2.313515,18.51795,20.647058,43.682636,0.441786,PSF-00336_20220902121849,0,0,0,184.92186,308.586548,0.400746,0.5,0.8,283.902832,49.18,44.11,29.82,30.51,100.43,156,125.5,19.6,1771,3.958,-27,164,126,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,-0.005,-0.004,-9999,-1.009,-3.322,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,290.008667,25,-13.208101,289.483307,289.71759,-0.234283,2.456133,2.450992,1.656055,0.855373,0.225257,0.007675,0.488735,1.719887,184.92186,0.000863,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902121849,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
78,12:19:34,9/2/22,Auto gsw+F,LI-COR Default,,78,LCOR-430,12,0.255376,2.917152,0.234819,6.188908,2.152194,1.980088,4.708868,2.556674,19.714973,21.428558,46.88438,0.441786,PSF-00336_20220902121934,0,0,0,114.504936,204.348816,0.439659,0.5,0.8,314.852936,50.9,46.83,29.87,31.75,100.44,156.1,154,1.4,1790,3.958,-17,164,126,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0.001,0.002,0.014,-0.733,-1.689,-3.495,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,185.815933,25,-13.470803,182.688828,185.104584,-2.415756,2.459839,2.453329,1.657063,0.924336,0.224826,0.022628,0.489856,1.737403,114.504936,0.000889,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902121934,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
79,12:20:14,9/2/22,Auto gsw+F,LI-COR Default,,79,LCOR-246,12,0.47264,2.917488,0.406746,8.890794,2.143899,1.896707,4.269131,2.125232,18.885107,21.346348,42.506832,0.441786,PSF-00336_20220902122014,0,0,0,131.453629,231.847427,0.433017,0.5,0.8,307.157288,50.57,44.74,29.91,30.04,100.43,156.2,152.4,2.4,1773,3.957,-10,165,128,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0,0.001,0.005,-1.466,-3.638,-10.659,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,213.786728,25,-13.096817,211.256866,213.137466,-1.8806,2.456979,2.452869,1.657419,0.920318,0.224423,0.000615,0.490925,1.721951,131.453629,0.001129,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122014,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
80,12:20:48,9/2/22,Auto gsw+F,LI-COR Default,,80,LCOR-389,12,0.242046,2.917012,0.223501,5.409521,2.035439,1.884812,4.388598,2.35316,18.766396,20.266129,43.695686,0.441786,PSF-00336_20220902122048,0,0,0,131.865265,205.748032,0.359093,0.5,0.8,258.937225,47.88,44.34,29.96,30.52,100.44,156.1,152.7,2.2,1803,3.957,-12,169,123,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0.002,0,0.017,-1.526,-4.75,-9.073,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,192.942383,25,-9.608711,190.833801,192.021133,-1.187332,2.456412,2.449172,1.656915,0.920968,0.223992,0.005976,0.491811,1.74869,131.865265,0.001145,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122048,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
81,12:21:52,9/2/22,Auto gsw+F,LI-COR Default,,81,LCOR-413,12,0.286366,2.916368,0.260762,6.390771,1.976292,1.798146,4.360129,2.383837,17.903486,19.677223,43.412228,0.441786,PSF-00336_20220902122152,0,0,0,115.616798,253.148453,0.543285,0.5,0.8,341.049011,46.45,42.26,29.98,30.4,100.44,156,146.3,6.3,1569,3.955,-11,168,114,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0,0.004,0.02,-0.897,-1.386,7.485,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,222.954147,25,-21.709448,217.77713,222.134583,-4.357452,2.453557,2.447203,1.656235,0.905205,0.22387,0.004393,0.49283,1.536173,115.616798,0.00114,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122152,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
82,12:22:44,9/2/22,Auto gsw+F,LI-COR Default,,82,LCOR-567,12,0.476506,2.915511,0.409567,9.325452,2.166666,1.90706,4.378815,2.212149,18.989182,21.574162,43.601208,0.441786,PSF-00336_20220902122244,0,0,0,122.447136,261.270325,0.531339,0.5,0.8,378.701721,50.78,44.69,30.03,30.48,100.43,155.9,154.5,0.9,1782,3.954,-27,154,131,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0.006,0.001,0.014,-0.678,-1.069,-1.842,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,231.157776,25,-21.184042,227.342957,231.00705,-3.664093,2.456884,2.453116,1.65533,0.925669,0.223416,0.004682,0.494135,1.729665,122.447136,0.001136,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122244,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
83,12:23:23,9/2/22,Auto gsw+F,LI-COR Default,,83,LCOR-478,12,0.452048,2.91759,0.391404,8.376348,2.126531,1.893607,4.208225,2.081694,18.853262,21.172314,41.898209,0.441786,PSF-00336_20220902122323,0,0,0,217.583298,311.909973,0.302416,0.5,0.8,218.504227,49.81,44.36,30.03,29.79,100.44,156.2,154.7,0.9,1806,3.952,-3,165,123,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,0,0.003,0.012,-1.689,-4.03,-8.567,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,301.515686,25,-7.399456,302.530273,301.339203,1.191071,2.456425,2.451803,1.657527,0.926091,0.223353,-0.003971,0.495209,1.751973,217.583298,0.001142,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122323,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
84,12:23:56,9/2/22,Auto gsw+F,LI-COR Default,,84,LCOR-329,12,0.282493,2.916204,0.257545,5.861762,2.040313,1.877006,4.254502,2.214189,18.689508,20.315571,42.362442,0.441786,PSF-00336_20220902122356,0,0,0,168.379074,243.485626,0.308464,0.5,0.8,223.296234,47.78,43.96,30.04,29.98,100.43,156,153.2,1.8,1810,3.952,-24,161,127,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,-0.005,-0.003,0.006,-1.682,-3.383,-9.591,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,233.077164,25,-7.651212,231.995697,232.555191,-0.559494,2.455873,2.449017,1.656061,0.922304,0.223309,-0.001687,0.496023,1.755091,168.379074,0.001131,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122356,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
85,12:24:46,9/2/22,Auto gsw+F,LI-COR Default,,85,LCOR-225,12,0.250773,2.916491,0.230917,5.868098,2.018344,1.854856,4.487914,2.46957,18.468405,20.096222,44.685207,0.441786,PSF-00336_20220902122446,0,0,0,131.763702,255.070892,0.483423,0.5,0.8,348.217682,47.25,43.42,30.05,30.91,100.43,156.1,151.2,3.1,1801,3.951,-19,163,128,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,-0.001,0.002,-9999,-2.55,-4.909,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,223.116882,25,-24.814445,212.537521,219.621262,-7.08374,2.455132,2.448278,1.656365,0.917387,0.223239,0.009793,0.496975,1.746938,131.763702,0.001133,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122446,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
86,12:25:54,9/2/22,Auto gsw+F,LI-COR Default,,86,LCOR-312,12,0.350746,2.917792,0.313108,7.861183,2.014338,1.795533,4.45476,2.440422,17.877472,20.056032,44.354431,0.441786,PSF-00336_20220902122554,0,0,0,139.584656,195.002121,0.284189,0.5,0.8,217.898773,47.27,42.13,30.01,30.78,100.44,156.2,155.1,0.7,1917,3.951,-18,162,123,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:15:34,9/2/22,-0.26,-0.003,-0.003,0.006,-1.718,-4.105,-8.681,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,183.428055,25,-7.846415,182.614807,183.792816,-1.178009,2.453367,2.448316,1.657741,0.927165,0.223608,0.008694,0.498803,1.852642,139.584656,0.000907,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122554,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
87,12:27:01,9/2/22,Auto gsw+F,LI-COR Default,,87,LCOR-108,12,0.785289,2.91679,0.618712,11.770507,2.214511,1.887311,4.065442,1.850931,18.791647,22.049526,40.478943,0.441786,PSF-00336_20220902122701,0,0,0,129.433395,251.0755,0.484484,0.5,0.8,344.673248,52.01,44.33,29.99,29.19,100.43,156.1,155.1,0.6,1779,3.949,-20,152,130,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,-0.002,-0.003,0.01,-0.691,-2.799,-7.265,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,226.685638,25,-17.480667,223.338959,226.102814,-2.763855,2.45639,2.45481,1.656681,0.927059,0.22375,-0.010763,0.500054,1.726688,129.433395,0.00086,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122701,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
88,12:28:50,9/2/22,Auto gsw+F,LI-COR Default,,88,LCOR-479,12,0.48443,2.917634,0.41545,8.741831,2.069346,1.826179,4.11723,2.047884,18.185822,20.607372,41.001019,0.441786,PSF-00336_20220902122850,0,0,0,127.655624,304.647919,0.580973,0.5,0.8,374.490784,48.55,42.85,30.01,29.41,100.42,156.2,143.6,8,1611,3.946,-29,166,121,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,0.002,0.003,0.014,-1.428,-3.12,-5.102,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,267.749908,25,-25.78681,264.737244,267.809174,-3.07193,2.454352,2.450085,1.657574,0.898752,0.223592,-0.008299,0.501988,1.574514,127.655624,0.000873,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122850,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
89,12:29:43,9/2/22,Auto gsw+F,LI-COR Default,,89,LCOR-431,12,0.624453,2.916322,0.514324,10.716636,2.144075,1.845862,4.170854,2.026779,18.379816,21.34922,41.530479,0.441786,PSF-00336_20220902122943,0,0,0,140.968674,268.068237,0.474131,0.5,0.8,344.343445,50.23,43.24,30.03,29.63,100.43,156,152.9,2,1816,3.946,-17,159,121,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,-0.001,0.001,0.012,-1.153,-1.628,-4.025,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,244.844193,25,-16.526545,242.615814,244.458603,-1.842789,2.45489,2.45237,1.656185,0.92164,0.223355,-0.005875,0.503054,1.760475,140.968674,0.000874,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902122943,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
90,12:31:08,9/2/22,Auto gsw+F,LI-COR Default,,90,LCOR-532,12,0.648299,2.917117,0.530419,11.04323,2.108016,1.80082,4.133776,2.02576,17.932787,20.991886,41.164658,0.441786,PSF-00336_20220902123108,0,0,0,136.318451,275.395477,0.505008,0.5,0.8,360.488739,49.4,42.2,30.03,29.48,100.42,156.1,154.7,0.9,1785,3.945,-40,146,136,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,0.001,-0.001,0.01,1.894,1.628,-2.384,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,247.577911,25,-20.040192,244.444016,246.766281,-2.322266,2.453454,2.451237,1.657027,0.926062,0.2234,-0.007716,0.504921,1.732162,136.318451,0.000887,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123108,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
91,12:32:00,9/2/22,Auto gsw+F,LI-COR Default,,91,LCOR-219,12,0.3373,2.91926,0.302364,7.751401,2.056254,1.840852,4.54632,2.490067,18.329153,20.473888,45.267197,0.441786,PSF-00336_20220902123200,0,0,0,127.677795,254.98436,0.499272,0.5,0.8,363.645782,48.16,43.12,30.04,31.14,100.43,156.4,153.7,1.8,1821,3.944,-26,151,134,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,0.005,0.004,0.015,-0.446,0.8,4.313,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,222.911591,25,-23.964312,214.814896,220.749222,-5.934326,2.454718,2.449543,1.6593,0.923441,0.223328,0.012753,0.506004,1.765235,127.677795,0.000887,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123200,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
92,12:33:08,9/2/22,Auto gsw+F,LI-COR Default,,92,LCOR-390,12,0.34106,2.918913,0.305378,7.082592,2.012896,1.815946,4.269281,2.256386,18.081888,20.042971,42.510441,0.441786,PSF-00336_20220902123308,0,0,0,166.397095,256.904846,0.352301,0.5,0.8,260.481567,46.98,42.38,30.1,30.04,100.43,156.4,154.3,1.3,1848,3.942,-20,154,132,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,0.002,0.003,0.018,-2.008,-3.008,4.819,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,240.358109,25,-12.783033,236.35376,238.643143,-2.289383,2.453693,2.447903,1.658931,0.925027,0.222787,-0.001678,0.507809,1.790329,166.397095,0.000878,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123308,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
93,12:33:40,9/2/22,Auto gsw+F,LI-COR Default,,93,LCOR-417,12,0.296746,2.917319,0.269348,6.951686,2.068961,1.875519,4.575223,2.506262,18.675076,20.601233,45.556789,0.441786,PSF-00336_20220902123340,0,0,0,252.157684,334.332031,0.245787,0.5,0.8,187.511993,48.28,43.77,30.1,31.25,100.43,156.2,155,0.8,1907,3.941,-19,147,135,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,0.003,0.002,0.011,-1.526,-2.821,-9.864,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,325.099457,25,-6.614996,325.616943,324.881927,0.735016,2.4556,2.449693,1.65724,0.92673,0.22277,0.013358,0.508389,1.843913,252.157684,0.00088,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123340,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
94,12:34:39,9/2/22,Auto gsw+F,LI-COR Default,,94,LCOR-210,12,0.282372,2.916198,0.257444,6.473946,2.02922,1.848848,4.472856,2.443636,18.410234,20.206327,44.539268,0.441786,PSF-00336_20220902123439,0,0,0,144.99057,239.298386,0.394101,0.5,0.8,291.453827,47.31,43.1,30.12,30.85,100.43,156,151.7,2.8,1849,3.94,-22,157,129,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,0,0.002,0.013,-1.857,-2.937,-5.213,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,223.080399,25,-11.655602,221.430664,222.647324,-1.21666,2.454678,2.448347,1.656055,0.918523,0.222609,0.008168,0.50911,1.790711,144.99057,0.000887,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123439,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
95,12:35:27,9/2/22,Auto gsw+F,LI-COR Default,,95,LCOR-081,12,0.521615,2.915963,0.442465,8.541471,2.198653,1.961017,4.07692,1.878266,19.525085,21.891142,40.592312,0.441786,PSF-00336_20220902123527,0,0,0,178.438065,327.70697,0.455495,0.5,0.8,306.135101,51.13,45.6,30.16,29.24,100.44,156,153.8,1.4,1680,3.939,-2,177,128,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,-0.001,-0.001,0.02,-2.138,-1.875,5.696,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,302.509918,25,-19.148098,297.511688,300.352203,-2.840515,2.458092,2.453561,1.655807,0.923899,0.222224,-0.012315,0.510266,1.637133,178.438065,0.000894,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123527,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
96,12:36:44,9/2/22,Auto gsw+F,LI-COR Default,,96,LCOR-172,12,0.377214,2.91694,0.33402,8.047247,2.056056,1.832046,4.397713,2.341657,18.24334,20.474007,43.792004,0.441786,PSF-00336_20220902123644,0,0,0,139.160873,256.65036,0.45778,0.5,0.8,334.828308,47.63,42.44,30.23,30.55,100.42,156.1,149.5,4.3,1829,3.938,-36,165,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:26:47,9/2/22,-0.26,0.005,0.003,0.02,-1.311,-3.848,-10.954,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,232.083313,25,-17.951342,227.987045,231.00528,-3.018234,2.453747,2.448769,1.656839,0.913018,0.221657,0.003125,0.512088,1.772214,139.160873,0.000874,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123644,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
97,12:37:28,9/2/22,Auto gsw+F,LI-COR Default,,97,LCOR-262,12,0.532807,2.916358,0.450502,10.309799,2.165533,1.87871,4.388869,2.223336,18.7068,21.562773,43.701103,0.441786,PSF-00336_20220902123728,0,0,0,145.494461,236.653793,0.385201,0.5,0.8,291.812653,50.06,43.43,30.27,30.52,100.43,156,154.6,0.9,1894,3.937,-18,153,129,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:37:18,9/2/22,-0.29,0.001,-0.003,0.009,-2.338,-3.247,-3.226,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,219.868546,25,-12.19925,217.418793,219.226089,-1.807297,2.455098,2.452129,1.656223,0.925923,0.221328,0.002221,0.512946,1.831739,145.494461,0.00087,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123728,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
98,12:38:05,9/2/22,Auto gsw+F,LI-COR Default,,98,LCOR-118,12,0.235715,2.916511,0.218089,5.728084,2.01705,1.857473,4.568298,2.551248,18.495619,20.084591,45.488407,0.441786,PSF-00336_20220902123805,0,0,0,140.135056,228.002594,0.38538,0.5,0.8,274.846466,46.47,42.79,30.33,31.22,100.43,156.1,154.8,0.8,1783,3.936,-21,163,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:37:18,9/2/22,-0.29,0.001,0,0.008,-1.698,-2.726,-6.295,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,213.886139,25,-10.101278,212.808609,213.572021,-0.763412,2.454206,2.447191,1.656385,0.926224,0.220807,0.010229,0.513825,1.730697,140.135056,0.00086,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123805,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
99,12:38:41,9/2/22,Auto gsw+F,LI-COR Default,,99,LCOR-501,12,0.304218,2.918229,0.275498,6.929608,2.005929,1.813133,4.450613,2.444683,18.055359,19.975248,44.319649,0.441786,PSF-00336_20220902123841,0,0,0,157.526855,274.164368,0.425429,0.5,0.8,304.022491,46.15,41.71,30.35,30.76,100.42,156.3,154.1,1.4,1787,3.936,-31,156,130,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:37:18,9/2/22,-0.29,0.003,0.003,0.013,-3.073,-4.202,-5.841,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,253.687622,25,-15.005059,251.350159,252.728317,-1.378159,2.45271,2.446742,1.658205,0.924633,0.220593,0.004208,0.514039,1.733979,157.526855,0.000855,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220902123841,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
