Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,leaf,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
28,12:33:22,9/19/22,Auto gsw+F,LI-COR Default,,28,LCOR-521,15,0.079115,2.917455,0.077026,2.228609,1.441463,1.379096,4.263025,2.821561,13.739844,14.361209,42.472252,0.441786,PSF-00336_20220919123322,0,0,0,114.324692,175.296646,0.347822,0.5,0.8,247.603729,38.55,36.88,27.75,30.01,100.37,156.2,154.5,1.1,1780,4.051,23,-176,81,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0,-0.001,0.003,-1.666,-3.846,-10.809,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,165.657883,25,-6.791956,165.545227,165.593735,-0.048508,2.446482,2.436551,1.657385,0.925494,0.244479,0.026966,0.323951,1.727705,114.324692,0.00061,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123322,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
29,12:34:45,9/19/22,Auto gsw+F,LI-COR Default,,29,LCOR-232,10,0.179996,2.917368,0.169536,3.668009,1.444564,1.341918,3.561861,2.117297,13.370381,14.393108,35.489079,0.441786,PSF-00336_20220919123445,0,0,0,138.769272,297.888794,0.534157,0.5,0.8,285.403015,38.46,35.73,27.82,26.92,100.36,156.2,144.4,7.5,1336,4.048,-2,-178,99,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0,0.001,0.01,-0.506,-0.344,6.172,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,271.725311,25,-18.717558,269.713989,271.149109,-1.43512,2.444826,2.436416,1.657292,0.900685,0.243766,-0.011666,0.328259,1.32339,138.769272,0.000619,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123445,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
30,12:36:41,9/19/22,Auto gsw+F,LI-COR Default,,30,LCOR-315,15,0.1656,2.918084,0.156707,3.12624,1.398554,1.311092,3.35306,1.954506,13.065457,13.937037,33.414314,0.441786,PSF-00336_20220919123641,0,0,0,118.306519,320.529694,0.630903,0.5,0.8,258.672485,37.21,34.88,27.84,25.89,100.35,156.3,134.5,13.9,1025,4.045,-12,145,89,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0.003,0.004,-9999,0.889,1.804,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,290.610901,25,-20.788164,290.634857,290.83197,-0.197113,2.443607,2.434617,1.658051,0.87672,0.243641,-0.024014,0.334915,1.040355,118.306519,0.000624,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123641,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
31,12:38:26,9/19/22,Auto gsw+F,LI-COR Default,,31,LCOR-419,13,0.265696,2.916805,0.243514,5.538084,1.463049,1.30804,3.686888,2.223839,13.033611,14.578154,36.736992,0.441786,PSF-00336_20220919123826,0,0,0,136.597397,295.482025,0.537713,0.5,0.8,329.980652,39.38,35.21,27.64,27.51,100.36,156.1,155.3,0.5,1534,4.044,-15,170,115,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0,-0.001,-9999,1.927,4.635,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,264.453278,25,-22.681812,259.323486,263.079041,-3.755554,2.444118,2.437771,1.656696,0.927646,0.24558,-0.002323,0.340525,1.504113,136.597397,0.000597,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123826,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
32,12:39:20,9/19/22,Auto gsw+F,LI-COR Default,,32,LCOR-365,15,0.244205,2.91739,0.225342,4.893531,1.432642,1.295684,3.558037,2.125395,12.909395,14.273968,35.450089,0.441786,PSF-00336_20220919123920,0,0,0,117.344139,225.188812,0.478908,0.5,0.8,264.698029,38.71,35.01,27.57,26.9,100.37,156.2,155,0.7,1382,4.044,3,-178,146,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0,0.001,0.004,-1.644,-3.275,-11.64,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,204.956177,25,-14.424925,202.963837,204.581528,-1.617691,2.443839,2.436822,1.657315,0.926802,0.246201,-0.008844,0.343695,1.365302,117.344139,0.000614,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123920,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
33,12:40:11,9/19/22,Auto gsw+F,LI-COR Default,,33,LCOR-480,10,0.460071,2.917721,0.397407,7.561293,1.525795,1.314411,3.388823,1.863028,13.095073,15.201023,33.761787,0.441786,PSF-00336_20220919124011,0,0,0,135.262726,289.795258,0.533247,0.5,0.8,284.102203,41.37,35.64,27.51,26.07,100.37,156.2,147.9,5.3,1332,4.042,-10,179,104,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0.004,0.004,0.015,-2.425,-3.26,-0.778,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,265.153534,25,-17.982355,262.316833,264.105865,-1.789032,2.444761,2.440625,1.657666,0.909243,0.246799,-0.017957,0.346564,1.319912,135.262726,0.000602,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124011,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
34,12:41:04,9/19/22,Auto gsw+F,LI-COR Default,,34,LCOR-433,13,0.513736,2.916424,0.436794,8.527597,1.563009,1.324474,3.473343,1.910334,13.196213,15.572824,34.606163,0.441786,PSF-00336_20220919124104,0,0,0,113.919495,246.65097,0.538135,0.5,0.8,288.524872,42.48,35.99,27.47,26.49,100.37,156.1,155.5,0.4,1340,4.041,-5,-177,106,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0.002,0.004,0.016,1.076,1.126,2.198,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,218.894363,25,-19.793909,214.705826,218.373611,-3.667786,2.445275,2.442191,1.656294,0.927935,0.247172,-0.012533,0.349488,1.327607,113.919495,0.000624,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124104,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
35,12:41:56,9/19/22,Auto gsw+F,LI-COR Default,,35,LCOR-453,13,0.328959,2.917523,0.295626,7.010512,1.525401,1.329374,3.842168,2.316767,13.243477,15.19634,38.276424,0.441786,PSF-00336_20220919124156,0,0,0,110.558151,234.858582,0.529257,0.5,0.8,323.714844,41.46,36.14,27.47,28.21,100.38,156.2,155.6,0.4,1529,4.04,17,176,114,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,-0.002,0,-9999,-0.11,0.088,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,212.521439,25,-15.462965,211.463928,212.768372,-1.304443,2.445479,2.440764,1.657456,0.928241,0.247213,0.008276,0.35249,1.499483,110.558151,0.000624,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124156,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
36,12:42:27,9/19/22,Auto gsw+F,LI-COR Default,,36,LCOR-223,10,0.35179,2.917323,0.313934,7.409238,1.602098,1.395019,3.906527,2.304429,13.895405,15.958065,38.911861,0.441786,PSF-00336_20220919124227,0,0,0,105.331421,182.80014,0.423789,0.5,0.8,282.382965,43.49,37.87,27.49,28.5,100.39,156.2,154.8,0.9,1666,4.039,31,-179,242,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,0.001,0.004,0.014,-0.722,-2.101,-5.657,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,169.798492,25,-9.044083,169.034241,169.879868,-0.845627,2.447941,2.443607,1.657245,0.926381,0.246974,0.011462,0.354336,1.624008,105.331421,0.000602,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124227,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
37,12:43:20,9/19/22,Auto gsw+F,LI-COR Default,,37,LCOR-216,12,0.409319,2.916267,0.358939,8.176745,1.633572,1.404952,3.85777,2.224199,13.995981,16.27347,38.430706,0.441786,PSF-00336_20220919124320,0,0,0,144.876831,247.164261,0.413844,0.5,0.8,260.059143,44.14,37.96,27.57,28.28,100.38,156,155.5,0.4,1571,4.039,3,-148,79,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:33:11,9/19/22,-0.2,-0.005,-0.003,0.01,-1.91,-2.835,-2.644,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,232.75029,25,-10.141414,232.133743,232.676346,-0.542603,2.448061,2.444503,1.656128,0.927999,0.246211,0.007877,0.357225,1.537642,144.876831,0.000599,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124320,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
38,12:44:12,9/19/22,Auto gsw+F,LI-COR Default,,38,LCOR-159,12,0.282356,2.917802,0.257443,6.112337,1.580055,1.40928,3.89821,2.318155,14.03994,15.741289,38.835884,0.441786,PSF-00336_20220919124412,0,0,0,107.82373,224.248001,0.519176,0.5,0.8,300.278473,42.43,37.85,27.68,28.46,100.38,156.2,154.8,0.9,1446,4.038,-15,173,116,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,0.004,0.004,-9999,-0.624,0.683,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,198.488831,25,-18.865328,193.181641,197.297211,-4.11557,2.447875,2.44205,1.657752,0.926244,0.24519,0.008788,0.360133,1.423736,107.82373,0.000626,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124412,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
39,12:44:58,9/19/22,Auto gsw+F,LI-COR Default,,39,LCOR-426,12,0.197809,2.915473,0.185241,4.931146,1.529529,1.391433,4.126284,2.596754,13.862173,15.237962,41.108166,0.441786,PSF-00336_20220919124458,0,0,0,112.438202,188.938416,0.404895,0.5,0.8,256.193542,40.89,37.2,27.75,29.44,100.38,155.9,149.6,4.1,1582,4.036,-18,-120,55,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,0.002,0.003,-9999,-1.329,-2.708,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,174.48056,25,-10.588373,172.103043,173.811981,-1.708939,2.446943,2.439859,1.65529,0.913328,0.244452,0.019915,0.362552,1.547528,112.438202,0.000615,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124458,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
40,12:46:09,9/19/22,Auto gsw+F,LI-COR Default,,40,LCOR-113,12,0.319511,2.917505,0.287973,6.608819,1.567197,1.382512,3.808742,2.241544,13.775353,15.615562,37.950317,0.441786,PSF-00336_20220919124609,0,0,0,116.496918,255.888184,0.544735,0.5,0.8,345.371155,41.89,36.95,27.76,28.06,100.36,156.2,136.9,12.3,1585,4.032,4,148,81,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,0.003,0.002,-9999,1.204,3.728,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,225.488312,25,-21.722218,221.009735,224.856064,-3.846329,2.446589,2.441266,1.657437,0.882558,0.24441,0.002952,0.365999,1.550433,116.496918,0.000636,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919124609,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
42,12:50:28,9/19/22,Auto gsw+F,LI-COR Default,,42,LCOR-505,15,0.212786,2.917672,0.198322,5.07048,1.464831,1.323001,3.9615,2.496668,13.181828,14.594969,39.470734,0.441786,PSF-00336_20220919125028,0,0,0,132.164597,210.209564,0.371272,0.5,0.8,277.844421,37.56,33.92,28.47,28.74,100.37,156.2,153.8,1.5,1871,4.03,-17,164,125,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,-0.001,-0.001,0.002,-1.907,-3.697,-10.305,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,196.539047,25,-9.865941,195.47403,196.115189,-0.641159,2.442101,2.43495,1.657614,0.92381,0.237594,0.002472,0.378318,1.810788,132.164597,0.000605,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125028,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
43,12:51:17,9/19/22,Auto gsw+F,LI-COR Default,,43,LCOR-153,13,0.273831,2.918249,0.25034,6.132166,1.466984,1.295531,3.860331,2.393347,12.907547,14.615765,38.461006,0.441786,PSF-00336_20220919125117,0,0,0,99.009995,232.858459,0.574806,0.5,0.8,369.29245,37.57,33.18,28.49,28.29,100.37,156.3,145.1,7.1,1606,4.029,-45,175,117,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,0.001,0.003,-9999,0.307,0.848,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,199.620361,25,-23.216339,196.426041,199.691864,-3.265823,2.441027,2.434967,1.658226,0.902376,0.23742,-0.003181,0.380545,1.569669,99.009995,0.00062,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125117,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
44,12:52:02,9/19/22,Auto gsw+F,LI-COR Default,,44,LCOR-336,12,0.235949,2.918427,0.2183,5.187495,1.470723,1.325707,3.793291,2.322567,13.208171,14.652978,37.79298,0.441786,PSF-00336_20220919125202,0,0,0,153.213852,303.949768,0.495924,0.5,0.8,281.563019,37.62,33.91,28.51,27.99,100.37,156.3,146.3,6.4,1419,4.028,-34,-165,110,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,0.002,0.002,0.006,-0.431,-3.374,-12.225,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,283.833862,25,-13.842966,283.917908,284.173859,-0.255951,2.442082,2.435035,1.658415,0.905278,0.237226,-0.007082,0.382551,1.399554,153.213852,0.000618,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125202,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
45,12:52:56,9/19/22,Auto gsw+F,LI-COR Default,,45,LCOR-412,11,0.42313,2.916432,0.369518,8.253469,1.565869,1.334979,3.748601,2.182733,13.299119,15.599256,37.343739,0.441786,PSF-00336_20220919125256,0,0,0,120.79847,260.274292,0.53588,0.5,0.8,350.529541,40.03,34.13,28.52,27.79,100.38,156.1,150.1,3.8,1635,4.027,-12,171,117,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,0.002,0.003,0.01,-0.96,-1.017,1.726,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,231.668121,25,-20.05661,229.351044,231.621643,-2.270599,2.442388,2.438462,1.656302,0.914687,0.237114,-0.009684,0.385083,1.596207,120.79847,0.000609,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125256,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
46,12:53:38,9/19/22,Auto gsw+F,LI-COR Default,,46,LCOR-509,12,0.125359,2.9178,0.120195,3.077821,1.438868,1.352747,3.940483,2.501615,13.475924,14.333853,39.254681,0.441786,PSF-00336_20220919125338,0,0,0,132.415649,264.40332,0.499191,0.5,0.8,237.335205,36.78,34.58,28.52,28.65,100.38,156.2,153.8,1.5,1189,4.027,-11,-173,109,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:43:56,9/19/22,-0.17,0.001,0.001,0,-0.581,-1.333,-10.687,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,248.281357,25,-11.099183,248.879669,248.54715,0.33252,2.443033,2.433816,1.65775,0.923821,0.237084,0.000687,0.386874,1.189354,132.415649,0.000615,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125338,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
48,12:55:19,9/19/22,Auto gsw+F,LI-COR Default,,48,LCOR-549,12,0.32281,2.917089,0.290647,6.705441,1.631268,1.443889,3.883715,2.252446,14.38287,16.249392,38.686462,0.441786,PSF-00336_20220919125519,0,0,0,138.141632,276.646301,0.500656,0.5,0.8,281.833252,41.66,36.88,28.54,28.4,100.39,156.1,152.1,2.6,1407,4.024,-5,174,109,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,-0.004,0.001,0.019,-1.655,-2.262,4.057,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,252.633331,25,-17.489788,249.341721,251.660583,-2.318863,2.446318,2.440704,1.656996,0.919464,0.236953,-0.002527,0.391103,1.388564,138.141632,0.00061,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125519,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
49,12:56:04,9/19/22,Auto gsw+F,LI-COR Default,,49,LCOR-466,10,0.350949,2.918432,0.313277,7.826838,1.756585,1.538346,4.190765,2.434179,15.32156,17.495174,41.739025,0.441786,PSF-00336_20220919125604,0,0,0,118.04187,193.803329,0.390919,0.5,0.8,271.687622,44.86,39.28,28.54,29.71,100.4,156.3,154.8,1,1737,4.023,15,-171,81,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,-0.001,-0.001,0.01,-0.936,-0.338,-5.454,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,181.805847,25,-8.441144,181.261536,181.7444,-0.482864,2.449722,2.445179,1.658419,0.926332,0.236936,0.013577,0.393089,1.689285,118.04187,0.000597,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125604,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
50,12:56:36,9/19/22,Auto gsw+F,LI-COR Default,,50,LCOR-547,10,0.395146,2.917126,0.348006,8.995712,1.663674,1.412343,4.183526,2.519852,14.066317,16.569469,41.666092,0.441786,PSF-00336_20220919125636,0,0,0,92.244385,146.331863,0.369622,0.5,0.8,280.479614,42.43,36.02,28.56,29.68,100.41,156.1,154.7,0.9,1897,4.023,45,-163,91,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,0,0,0.009,-0.555,-1.271,-1.658,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,132.475021,25,-10.136853,129.465225,131.850464,-2.385239,2.445099,2.441785,1.657035,0.925943,0.236744,0.012953,0.394359,1.834629,92.244385,0.000621,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125636,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
51,12:57:30,9/19/22,Auto gsw+F,LI-COR Default,,51,LCOR-598,12,0.271791,2.915098,0.248612,6.235313,1.583861,1.409255,4.031379,2.447518,14.037244,15.776455,40.155582,0.441786,PSF-00336_20220919125730,0,0,0,97.779037,211.253494,0.537148,0.5,0.8,310.600464,40.28,35.84,28.61,29.04,100.39,155.9,138.4,11.2,1446,4.021,5,152,75,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,0.002,0.005,-9999,-1.041,-2.147,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,185.345642,25,-18.431139,181.478973,184.922974,-3.444,2.444827,2.438736,1.654895,0.885952,0.236272,0.004438,0.396577,1.423429,97.779037,0.000622,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125730,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
52,12:58:27,9/19/22,Auto gsw+F,LI-COR Default,,52,LCOR-464,15,0.393966,2.918711,0.347113,8.434435,1.654674,1.419366,4.024717,2.370043,14.140352,16.484596,40.096008,0.441786,PSF-00336_20220919125827,0,0,0,96.601364,241.373154,0.599784,0.5,0.8,285.703308,41.95,35.98,28.67,29.01,100.38,156.3,153.8,1.6,1191,4.02,0,142,75,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,0,0.005,-9999,0.068,0.256,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,205.985428,25,-24.606474,203.109024,206.220627,-3.111603,2.445021,2.441079,1.658717,0.923715,0.235764,0.003421,0.399101,1.191411,96.601364,0.000631,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125827,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
53,12:59:04,9/19/22,Auto gsw+F,LI-COR Default,,53,LCOR-555,8,0.406844,2.916111,0.357032,8.763482,1.718355,1.473456,4.111268,2.392913,14.675236,17.114363,40.947147,0.441786,PSF-00336_20220919125904,0,0,0,99.557159,181.462952,0.451364,0.5,0.8,303.944763,43.48,37.29,28.7,29.38,100.4,156,154.6,0.9,1683,4.019,-5,-167,90,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,0.004,0.004,-9999,-0.922,-0.929,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,158.066864,25,-17.70141,150.930756,156.174911,-5.244156,2.446868,2.443223,1.655963,0.925784,0.235468,0.007551,0.400572,1.640091,99.557159,0.000629,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919125904,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
54,13:00:17,9/19/22,Auto gsw+F,LI-COR Default,,54,LCOR-189,15,0.341961,2.916843,0.306077,7.407202,1.59769,1.390604,3.959756,2.362065,13.852983,15.915945,39.446476,0.441786,PSF-00336_20220919130017,0,0,0,190.624954,287.949249,0.337991,0.5,0.8,209.856476,40.3,35.08,28.75,28.73,100.38,156.1,154.7,0.9,1552,4.018,10,175,79,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,-0.003,-0.001,0.008,-1.826,-4.146,-12.549,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,277.344696,25,-7.38851,278.908264,277.394104,1.51416,2.443709,2.438735,1.656736,0.926155,0.234962,-0.001072,0.403459,1.520551,190.624954,0.000615,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919130017,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
55,13:01:17,9/19/22,Auto gsw+F,LI-COR Default,,55,LCOR-447,12,0.399124,2.916842,0.351083,7.869654,1.581943,1.361882,3.772155,2.190213,13.566251,15.758362,37.575951,0.441786,PSF-00336_20220919130117,0,0,0,112.009766,203.752151,0.450265,0.5,0.8,247.564133,39.99,34.43,28.71,27.9,100.39,156.1,153.8,1.5,1375,4.016,1,-147,81,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,-0.001,-0.002,0.017,-1.854,-3.127,1.313,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,186.141724,25,-13.087696,181.913498,185.055222,-3.141724,2.442784,2.438305,1.656735,0.923764,0.235311,-0.010746,0.405809,1.358716,112.009766,0.000632,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919130117,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
56,13:02:43,9/19/22,Auto gsw+F,LI-COR Default,,56,LCOR-456,12,0.596477,2.916261,0.495193,10.567334,1.710102,1.414869,3.79353,2.083427,14.094738,17.035818,37.790653,0.441786,PSF-00336_20220919130243,0,0,0,108.818649,261.026733,0.583113,0.5,0.8,212.067596,43.41,35.92,28.64,27.99,100.38,156,154.6,0.9,909,4.015,6,152,79,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:54:14,9/19/22,-0.13,0.002,0.005,0.018,0.343,2.52,4.261,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,222.302551,25,-28.116472,213.967682,220.859863,-6.892181,2.444933,2.443139,1.656121,0.925771,0.235986,-0.00869,0.408979,0.934881,108.818649,0.000612,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919130243,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
