row,column,ID,Diameter,SPAD,Drought Score,Stem damage,Root damage,Top dieback
14,49,LCOR-602,38.36,30.4,1,,,
15,49,LCOR-456,22.44,32.2,1,,,
16,49,LCOR-1174,-,,,,,
1,50,LCOR-1126,-,,,,,
2,50,LCOR-500,24.87,27.9,1,,,
3,50,LCOR-119,20.13,24.3,1,bio,,
4,50,LCOR-375,23.7,30.8,1,,,
5,50,LCOR-208,28.95,28.2,1,,,
6,50,LCOR-457,24.78,26.5,1,bio,,
7,50,LCOR-440,23.32,27.9,1,,,
8,50,LCOR-501,26.2,27.2,1,,,
9,50,LCOR-118,24.72,23.5,1,bio,,
10,50,LCOR-262,21.85,28.3,1,bio,,
11,50,LCOR-172,25.8,,5,,,
12,50,LCOR-081,25.34,31.6,1,,,
13,50,LCOR-210,31.21,31.5,1,bio,,
14,50,LCOR-417,24.21,32.7,1,bio,,
15,50,LCOR-390,27.09,28,1,0,,
16,50,LCOR-1196,-,,,,,
1,51,LCOR-1019,-,,,,,
2,51,LCOR-1256,-,,,,,
3,51,LCOR-1167,-,,,,,
4,51,LCOR-219,16.28,,4,,,
5,51,LCOR-532,27.7,28.6,1,,,
6,51,LCOR-431,26.39,25.5,1,bio,,
7,51,LCOR-479,39.63,26.4,1,,,
8,51,LCOR-1030,-,36,,,,
9,51,LCOR-108,34.01,28,1,,,
10,51,LCOR-312,25.04,26.9,1,bio,,
11,51,LCOR-225,26.58,29,1,bio,,
12,51,LCOR-329,28.79,29.6,0,bio,,
13,51,LCOR-478,20.82,33.3,0,bio,,
14,51,LCOR-567,25.16,31.2,1,bio,,
15,51,LCOR-413,24.77,32,0,bio,,
16,51,LCOR-1205,-,,,,,
1,52,LCOR-1041,-,,,,,
2,52,LCOR-1218,-,,,,,
3,52,LCOR-389,25.52,28.2,1,bio,,
4,52,LCOR-246,26.61,28.2,1,phys,,
5,52,LCOR-1050,-,,,,,
6,52,LCOR-430,30.11,26.8,1,,,
7,52,LCOR-465,25.09,27.7,1,,,
8,52,LCOR-1117,-,,,,,
9,52,LCOR-183,23.82,25.1,1,,,
10,52,LCOR-1096,-,,,,,
11,52,LCOR-317,15.36,38.1,0,bio,,
12,52,LCOR-215,30.24,33.4,0,,,
13,52,LCOR-187,35.75,34.6,0,bio,,
14,52,LCOR-1220,-,,,,,
15,52,LCOR-576,23.96,34.3,0,,,
16,52,LCOR-1243,-,,,,,
1,53,LCOR-1065,-,,,,,
2,53,LCOR-1230,-,,,,,
3,53,LCOR-288,33.6,39.1,3,,,
4,53,LCOR-407,19.25,37.6,1,,,
5,53,LCOR-580,21.5,29.4,1,,,
6,53,LCOR-566,22.92,33.8,1,,,
7,53,LCOR-097,23.52,35.2,1,,,
8,53,LCOR-1194,-,,,,,
9,53,LCOR-592,23.07,33.8,1,,,
10,53,LCOR-451,27.4,35.4,0,bio,,
11,53,LCOR-597,23,31.2,1,bio,,
12,53,LCOR-1031,-,33.7,,,,
13,53,LCOR-050,16.7,32.5,1,bio,,
14,53,LCOR-444,19.73,27.4,1,,,
15,53,LCOR-1032,-,,,,,
16,53,LCOR-1208,-,,,,,
1,54,LCOR-1074,-,,,,,
2,54,LCOR-590,11.54,,1,,,
3,54,LCOR-038,22.62,,1,bio,,
4,54,LCOR-1038,-,,,,,
5,54,LCOR-205,13.23,,3,,,
6,54,LCOR-1138,-,,,,,
7,54,LCOR-1252,,,,,,
8,54,LCOR-1182,,,,,,
9,54,LCOR-1107,,,,,,
10,54,LCOR-1123,,,,,,
11,54,LCOR-1133,,,,,,
12,54,LCOR-1179,,,,,,
13,54,LCOR-1190,,,,,,
14,54,LCOR-1013,,,,,,
15,54,LCOR-1251,,,,,,
16,54,LCOR-1045,,,,,,
1,55,LCOR-1084,,,,,,
2,55,LCOR-1176,,,,,,
3,55,LCOR-1055,,,,,,
4,55,LCOR-1067,,,,,,
5,55,LCOR-1146,,,,,,
6,55,LCOR-1036,,,,,,
7,55,LCOR-1157,,,,,,
8,55,LCOR-1184,,,,,,
9,55,LCOR-1232,,,,,,
10,55,LCOR-1258,,,,,,
11,55,LCOR-1012,,,,,,
12,55,LCOR-1109,,,,,,
13,55,LCOR-1000,,,,,,
14,55,LCOR-1125,,,,,,
15,55,LCOR-1130,,,,,,
16,55,LCOR-1195,,,,,,
