row,column,ID,SPAD 1,SPAD 2,SPAD 3,Aug_avg_SPAD,Comments
2,44,LCOR-1169,64.6,45.3,43.2,51.03333333,
3,44,LCOR-1245,39.3,41.2,38.7,39.73333333,
4,44,LCOR-1014,48.1,48,49.4,48.5,
5,44,LCOR-1034,48.4,48.2,44.5,47.03333333,
6,44,LCOR-1118,39.3,41.4,37.5,39.4,
7,44,LCOR-1129,43,43.9,43,43.3,
8,44,LCOR-1136,31.7,30.1,32.6,31.46666667,
9,44,LCOR-1151,34,36.5,39.2,36.56666667,
10,44,LCOR-1159,46.4,44.3,43.1,44.6,
11,44,LCOR-1160,32.9,33.2,32.1,32.73333333,
12,44,LCOR-1193,32.6,30.8,25.7,29.7,
13,44,LCOR-1249,37,32.5,33.9,34.46666667,
14,44,LCOR-1261,35,36,34.4,35.13333333,
15,44,LCOR-1237,40,44.2,41.5,41.9,
16,44,LCOR-1135,37.9,34.6,33.9,35.46666667,
1,45,LCOR-1039,43.5,56.1,53.7,51.1,
2,45,LCOR-599,51.6,47.2,46.9,48.56666667,
3,45,LCOR-316,55.5,49.8,47.5,50.93333333,
4,45,LCOR-100,39.6,45.6,48.4,44.53333333,
5,45,LCOR-304,44.2,41.5,40.8,42.16666667,
6,45,LCOR-494,45.4,45.8,52.6,47.93333333,
7,45,LCOR-439,47.2,50.6,39.5,45.76666667,
8,45,LCOR-378,30.8,31,31.6,31.13333333,
9,45,LCOR-595,30.3,35.1,30.2,31.86666667,
10,45,LCOR-1239,38.4,38.3,35.1,37.26666667,
11,45,LCOR-371,34.2,43.2,41.1,39.5,
12,45,LCOR-234,31.1,34.2,37.4,34.23333333,
13,45,LCOR-461,30.8,37.4,39.8,36,
14,45,LCOR-519,27.1,31.8,32.4,30.43333333,
15,45,LCOR-1226,49.8,34.4,37.4,40.53333333,"10,11,12"
16,45,LCOR-1027,41.3,44,42,42.43333333,
1,46,LCOR-1042,41.3,44,42,42.43333333,
2,46,LCOR-112,39.1,43,41.2,41.1,"11,12,13"
3,46,LCOR-190,46.6,48.9,49.5,48.33333333,
4,46,LCOR-313,39.7,37.3,36.3,37.76666667,
5,46,LCOR-446,39.9,42.7,52.7,45.1,
6,46,LCOR-032,30.1,32.2,37,33.1,"11,12,13"
7,46,LCOR-492,45,46,42.2,44.4,
8,46,LCOR-311,36.4,39.6,40,38.66666667,
9,46,LCOR-523,41.6,47.9,54,47.83333333,
10,46,LCOR-432,42.6,44.3,44,43.63333333,
11,46,LCOR-025,28.1,32.5,34.6,31.73333333,
12,46,LCOR-538,29.1,35.7,38.5,34.43333333,
13,46,LCOR-102,29.6,33,33.7,32.1,
14,46,LCOR-155,32.8,35.6,35.4,34.6,
15,46,LCOR-490,40.4,35.7,37.9,38,
16,46,LCOR-1255,33.6,44,38.6,38.73333333,
1,47,LCOR-1079,47,47.2,50.7,48.3,
2,47,LCOR-374,43,46.9,50.8,46.9,
3,47,LCOR-521,44.1,50.5,49.3,47.96666667,
4,47,LCOR-232,40.1,43.6,43.4,42.36666667,
5,47,LCOR-315,27.6,28.5,30.2,28.76666667,
6,47,LCOR-419,37.6,35.6,35.7,36.3,
7,47,LCOR-365,46.2,51.4,49.6,49.06666667,
8,47,LCOR-480,46.1,43.7,40.7,43.5,
9,47,LCOR-433,38.3,41.6,41.1,40.33333333,
10,47,LCOR-453,28.3,33.2,41.1,34.2,
11,47,LCOR-223,27.1,40.3,39,35.46666667,
12,47,LCOR-359,NA,NA,NA,#DIV/0!,dead
13,47,LCOR-216,30.6,37.6,39.1,35.76666667,
14,47,LCOR-159,35.6,42.1,45,40.9,
15,47,LCOR-426,34.6,45.4,46,42,
16,47,LCOR-1068,36.1,40.4,36.2,37.56666667,
1,48,LCOR-1083,33.7,39.1,37.9,36.9,
2,48,LCOR-113,24.2,28.3,29.1,27.2,
3,48,LCOR-505,27.1,31.5,33,30.53333333,
4,48,LCOR-153,39,43,41,41,
5,48,LCOR-336,37.6,43.8,43.7,41.7,
6,48,LCOR-412,33.5,39.3,40.5,37.76666667,
7,48,LCOR-509,33.9,36.2,38.1,36.06666667,
8,48,LCOR-549,38.1,38.4,43.4,39.96666667,
9,48,LCOR-466,33.5,41.8,45.1,40.13333333,
10,48,LCOR-547,32.3,43.6,32.4,36.1,
11,48,LCOR-598,36.4,36.1,40.8,37.76666667,
12,48,LCOR-464,36.1,38.5,39.1,37.9,
13,48,LCOR-555,37.4,41.7,41.3,40.13333333,
14,48,LCOR-189,49.6,42.4,44.5,45.5,
15,48,LCOR-447,37.6,36.9,35,36.5,
16,48,LCOR-1170,34.1,34.5,36.9,35.16666667,
1,49,LCOR-1113,34.7,43.9,42.9,40.5,
2,49,LCOR-1172,42,48.2,51.1,47.1,
3,49,LCOR-270,48,40.4,40.6,43,
4,49,LCOR-114,39.3,42.4,40.6,40.76666667,
5,49,LCOR-591,36.8,34.1,36.8,35.9,
6,49,LCOR-029,38.4,43.3,40.9,40.86666667,
7,49,LCOR-056,54.1,50.1,49.1,51.1,
8,49,LCOR-578,38.4,41.5,38.5,39.46666667,
9,49,LCOR-586,41.7,40,45.6,42.43333333,
10,49,LCOR-531,29,33.6,39.2,33.93333333,
11,49,LCOR-477,39.6,42.7,45.4,42.56666667,
12,49,LCOR-460,33.8,42.3,39.6,38.56666667,
13,49,LCOR-615,32.2,32.1,32.9,32.4,
14,49,LCOR-602,41.2,41.3,49.1,43.86666667,
15,49,LCOR-456,41.6,38.5,40.5,40.2,
16,49,LCOR-1174,31.9,31.9,29.4,31.06666667,
1,50,LCOR-1126,38.3,42.1,40.6,40.33333333,
2,50,LCOR-500,39.9,43,47.9,43.6,
3,50,LCOR-119,46.4,39.2,40.8,42.13333333,
4,50,LCOR-375,43.6,47.5,46.6,45.9,
5,50,LCOR-208,35.3,34.6,34.6,34.83333333,
6,50,LCOR-457,43.3,42,44.9,43.4,
7,50,LCOR-440,51.7,50.3,47.1,49.7,
8,50,LCOR-501,46.7,49.5,47.8,48,
9,50,LCOR-118,42.3,39.1,51.7,44.36666667,
10,50,LCOR-262,43.4,56.2,50.9,50.16666667,
11,50,LCOR-172,39.8,39.3,47.7,42.26666667,
12,50,LCOR-081,46,47.4,45.9,46.43333333,
13,50,LCOR-210,29.6,33.5,44.2,35.76666667,
14,50,LCOR-417,45.5,51.8,47,48.1,
15,50,LCOR-390,43.1,42.9,49.2,45.06666667,
16,50,LCOR-1196,37.8,50.2,38.5,42.16666667,
1,51,LCOR-1019,54.8,47.2,49.9,50.63333333,
2,51,LCOR-1256,45.6,43.7,42.7,44,
3,51,LCOR-1167,39.4,47.1,47.8,44.76666667,
4,51,LCOR-219,36.9,36.6,40.7,38.06666667,
5,51,LCOR-532,34.4,37.9,42.5,38.26666667,
6,51,LCOR-431,49.2,45.4,44.2,46.26666667,
7,51,LCOR-479,34.4,39.8,36.8,37,
8,51,LCOR-1030,46.7,56.7,49.2,50.86666667,
9,51,LCOR-108,42.1,38.7,49.1,43.3,
10,51,LCOR-312,29.6,35.7,42.5,35.93333333,
11,51,LCOR-225,42.3,42,46.9,43.73333333,
12,51,LCOR-329,42.9,46.1,48.7,45.9,
13,51,LCOR-478,46.8,50,47.8,48.2,
14,51,LCOR-567,36.1,37.9,45.4,39.8,
15,51,LCOR-413,37.8,34.1,42.6,38.16666667,
16,51,LCOR-1205,46.8,45.8,42.1,44.9,"13,14,15"
1,52,LCOR-1041,35.4,31.2,34,33.53333333,
2,52,LCOR-1218,44.9,51.2,49.2,48.43333333,
3,52,LCOR-389,43.1,41.5,42.8,42.46666667,
4,52,LCOR-246,47.3,47.8,48.2,47.76666667,
5,52,LCOR-1050,53.2,54.7,45.7,51.2,
6,52,LCOR-430,38,45.2,36.7,39.96666667,
7,52,LCOR-465,40.4,47.7,43.3,43.8,
8,52,LCOR-1117,37.6,48.2,46.9,44.23333333,
9,52,LCOR-183,43.9,43.4,47.5,44.93333333,
10,52,LCOR-1096,46.5,47.9,48.9,47.76666667,
11,52,LCOR-317,42.1,50.7,55.6,49.46666667,
12,52,LCOR-215,43.4,46.4,48.8,46.2,
13,52,LCOR-187,35,34.6,45.9,38.5,
14,52,LCOR-1220,49.4,47,43.4,46.6,
15,52,LCOR-576,33.6,42.6,45.1,40.43333333,
16,52,LCOR-1243,37.6,31.6,34.2,34.46666667,
1,53,LCOR-1065,28.1,24.1,21.7,24.63333333,
2,53,LCOR-1230,37.1,37.1,33.2,35.8,
3,53,LCOR-288,34,33.2,27.6,31.6,
4,53,LCOR-407,38.3,36,41.7,38.66666667,
5,53,LCOR-580,45,42.5,40.5,42.66666667,
6,53,LCOR-566,41.9,30.6,34.8,35.76666667,
7,53,LCOR-097,44.7,42.8,37.9,41.8,
8,53,LCOR-1194,18.9,17.8,19.2,18.63333333,
9,53,LCOR-592,41.7,40.7,38.8,40.4,
10,53,LCOR-451,32.6,37.1,32.4,34.03333333,
11,53,LCOR-597,32.5,38.8,32.4,34.56666667,
12,53,LCOR-1031,44,38.8,39,40.6,
13,53,LCOR-050,38.3,40.9,34.4,37.86666667,
14,53,LCOR-444,49.1,47.8,45.3,47.4,
15,53,LCOR-1032,51.7,46.5,49.1,49.1,
16,53,LCOR-1208,42.9,43,38.9,41.6,
1,54,LCOR-1074,39.3,40.6,44.4,41.43333333,
2,54,LCOR-590,41.3,49.2,46.6,45.7,
3,54,LCOR-038,44.6,45.5,46,45.36666667,
4,54,LCOR-1038,43.5,41.7,42.4,42.53333333,
5,54,LCOR-205,50.3,41.7,42.4,44.8,
6,54,LCOR-1138,45,42.9,43.7,43.86666667,
7,54,LCOR-1252,40.1,34.5,37.9,37.5,
8,54,LCOR-1182,45,42.8,43.1,43.63333333,
9,54,LCOR-1107,30.2,33.2,35.8,33.06666667,
10,54,LCOR-1123,42.1,41.7,44.5,42.76666667,
11,54,LCOR-1133,45.9,41.3,50,45.73333333,
12,54,LCOR-1179,44.8,41.8,48.6,45.06666667,
13,54,LCOR-1190,31.7,34.6,32.6,32.96666667,
14,54,LCOR-1013,39.8,36.5,37.8,38.03333333,
15,54,LCOR-1251,45.3,46.6,49.1,47,
16,54,LCOR-1045,48.9,41.2,39.9,43.33333333,
1,55,LCOR-1084,34.5,46.6,47.1,42.73333333,
2,55,LCOR-1176,41,43.5,43.9,42.8,
3,55,LCOR-1055,35.7,36.5,37.8,36.66666667,
4,55,LCOR-1067,42.2,49.3,48.2,46.56666667,
5,55,LCOR-1146,41.6,56.4,41.2,46.4,
6,55,LCOR-1036,51.6,47.5,49.8,49.63333333,
7,55,LCOR-1157,52.3,48.2,42.4,47.63333333,
8,55,LCOR-1184,44,46.6,47.6,46.06666667,
9,55,LCOR-1232,39.6,43.3,39.7,40.86666667,
10,55,LCOR-1258,42.9,44.7,42.3,43.3,
11,55,LCOR-1012,38.6,44.4,42.9,41.96666667,
12,55,LCOR-1109,42.4,42,43.6,42.66666667,
13,55,LCOR-1000,37.1,34,35.7,35.6,
14,55,LCOR-1125,25.7,28.8,32.7,29.06666667,
15,55,LCOR-1130,35,34.4,32.2,33.86666667,
16,55,LCOR-1195,33.2,36.1,31.7,33.66666667,
