SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
27,10:43:32,8/15/22,Auto gsw+F,LI-COR Default,,27,LCOR-190,11,0.412851,2.91623,0.361652,7.819303,1.823797,1.603934,3.947913,2.124115,15.860313,18.034409,39.038479,0.441786,PSF-00336_20220815104332,0,0,0,128.133774,213.991043,0.401219,0.5,0.8,319.557526,50.91,44.77,27.01,28.68,101.13,156,154.9,0.7,1991,4.052,10:33:40,8/15/22,-0.47,0.002,0.001,0.014,-1.178,-2.408,-3.189,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,194.437271,25,-14.379316,190.466888,193.448914,-2.982025,2.457714,2.454408,1.656089,0.926459,0.251709,0.019503,0.300492,1.920332,128.133774,0.001723,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815104332,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
28,10:44:39,8/15/22,Auto gsw+F,LI-COR Default,,28,LCOR-313,12,0.715685,2.917124,0.574691,10.264008,1.934629,1.64651,3.690799,1.756171,16.279156,19.1278,36.491169,0.441786,PSF-00336_20220815104439,0,0,0,127.582672,244.415558,0.478009,0.5,0.8,325.903442,53.83,45.82,27.07,27.52,101.14,156.1,155.6,0.4,1704,4.051,10:44:05,8/15/22,-0.43,0.005,0.004,0.018,-1.004,-1.19,0.648,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,223.295334,25,-14.793438,221.723557,223.281815,-1.558258,2.459136,2.458329,1.657034,0.928214,0.251164,0.004769,0.30423,1.659221,127.582672,0.001714,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815104439,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
29,10:45:55,8/15/22,Auto gsw+F,LI-COR Default,,29,LCOR-446,13,0.621413,2.915453,0.512233,8.122935,1.91706,1.688712,3.478125,1.561064,16.697027,18.954805,34.389725,0.441786,PSF-00336_20220815104555,0,0,0,117.081284,339.875275,0.655517,0.5,0.8,258.493958,52.8,46.51,27.24,26.51,101.14,155.9,155.2,0.5,986,4.045,10:44:05,8/15/22,-0.43,0.007,0.004,0.02,0.409,1.654,4.353,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,299.017303,25,-28.269714,297.901855,299.489471,-1.587616,2.460046,2.456871,1.655269,0.927241,0.249425,-0.009489,0.308886,1.00468,117.081284,0.001728,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815104555,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
30,10:49:57,8/15/22,Auto gsw+F,LI-COR Default,,30,LCOR-032,10,0.384526,2.918843,0.339765,5.035899,1.942606,1.801468,3.401891,1.459285,17.813692,19.209333,33.639374,0.441786,PSF-00336_20220815104957,0,0,0,157.874115,430.480286,0.633261,0.5,0.8,20.972628,50.9,47.2,28.1,26.14,101.13,156.3,154.1,1.5,83,4.043,10:44:05,8/15/22,-0.43,0.002,-0.001,0.006,3.237,2.012,-8.148,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,417.423615,25,-8.556077,425.702332,418.257172,7.44516,2.460779,2.454041,1.658857,0.924438,0.241118,-0.024305,0.323214,0.182188,157.874115,0.001893,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815104957,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
31,10:51:51,8/15/22,Auto gsw+F,LI-COR Default,,31,LCOR-492,14,0.890306,2.916668,0.682097,12.723302,2.176847,1.820434,4.005835,1.828987,17.998531,21.522366,39.605457,0.441786,PSF-00336_20220815105151,0,0,0,131.260864,275.179504,0.522999,0.5,0.8,376.960419,56.26,47.05,28.33,28.93,101.14,156.1,155.8,0.2,1802,4.039,10:44:05,8/15/22,-0.43,0,-0.003,0.014,-0.011,1.215,-5.137,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,246.167068,25,-20.094921,244.400742,246.472122,-2.071381,2.460515,2.461266,1.656551,0.928779,0.238887,0.006501,0.329612,1.747963,131.260864,0.001879,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815105151,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
32,10:54:15,8/15/22,Auto gsw+F,LI-COR Default,,32,LCOR-311,12,0.624995,2.916517,0.514698,6.425872,1.958359,1.777948,3.188888,1.23053,17.579725,19.363567,31.530615,0.441786,PSF-00336_20220815105415,0,0,0,92.399597,320.213379,0.711444,0.5,0.8,60.29948,50,45.39,28.54,25.05,101.14,156.1,153.8,1.4,212,4.039,10:44:05,8/15/22,-0.43,0,0.002,0.021,-0.014,0.175,0.302,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,296.259644,25,-16.318573,301.224243,296.900848,4.323395,2.458198,2.452691,1.656391,0.92389,0.236904,-0.042558,0.336877,0.299768,92.399597,0.001721,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815105415,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
33,10:55:26,8/15/22,Auto gsw+F,LI-COR Default,,33,LCOR-523,13,0.542621,2.914694,0.457458,8.325755,1.956208,1.722087,3.745243,1.789034,17.025246,19.339869,37.026985,0.441786,PSF-00336_20220815105526,0,0,0,237.337952,371.987274,0.361973,0.5,0.8,266.519592,49.73,43.78,28.62,27.77,101.15,155.8,155,0.6,1841,4.037,10:54:58,8/15/22,-0.44,0.001,0.002,-0.002,-3.571,-0.64,18.661,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,344.120636,25,-22.891609,334.160675,339.284576,-5.123901,2.455961,2.45232,1.654469,0.926735,0.236214,-0.011045,0.340551,1.783326,237.337952,0.001705,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815105526,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
34,10:56:43,8/15/22,Auto gsw+F,LI-COR Default,,34,LCOR-432,12,0.62246,2.91799,0.513023,10.675055,2.082946,1.783939,4.122976,2.04003,17.637789,20.594069,40.763832,0.441786,PSF-00336_20220815105643,0,0,0,225.349548,349.548859,0.355313,0.5,0.8,287.996521,52.71,45.14,28.7,29.43,101.14,156.2,150.7,3.5,2026,4.035,10:54:58,8/15/22,-0.44,0.004,0.004,0.007,-1.724,-3.77,-10.647,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,331.554657,25,-12.741075,331.152679,331.347107,-0.194427,2.457812,2.456358,1.657951,0.916116,0.235457,0.008142,0.344975,1.952384,225.349548,0.001712,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815105643,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
35,11:00:07,8/15/22,Auto gsw+F,LI-COR Default,,35,LCOR-025,11,0.418903,2.914328,0.366258,5.48234,1.841635,1.68728,3.316773,1.475138,16.684517,18.210844,32.797607,0.441786,PSF-00336_20220815110007,0,0,0,100.021362,375.232605,0.733442,0.5,0.8,111.187973,47.09,43.15,28.52,25.71,101.13,155.8,155,0.5,379,4.03,10:54:58,8/15/22,-0.44,0.002,-0.001,0.013,0.651,-1.286,-1.952,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,344.980011,25,-21.393841,344.847321,344.669617,0.177704,2.45511,2.448716,1.654084,0.926772,0.237155,-0.034457,0.354896,0.451965,100.021362,0.001792,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110007,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
36,11:01:51,8/15/22,Auto gsw+F,LI-COR Default,,36,LCOR-102,12,0.593147,2.917262,0.492924,10.305879,1.966703,1.67754,4.018736,2.052033,16.586277,19.445305,39.734287,0.441786,PSF-00336_20220815110151,0,0,0,257.789612,347.275696,0.25768,0.5,0.8,208.484253,50.53,43.1,28.43,28.99,101.14,156.2,155.2,0.6,2023,4.029,10:54:58,8/15/22,-0.44,0,0.003,0.012,-1.64,-3.219,-8.272,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,337.730896,25,-7.171415,337.449066,337.030701,0.418365,2.455069,2.453465,1.65718,0.927336,0.237929,0.005938,0.36009,1.949055,257.789612,0.001733,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110151,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
37,11:03:00,8/15/22,Auto gsw+F,LI-COR Default,,37,LCOR-155,11,0.606263,2.917727,0.501962,9.951337,1.97323,1.694152,3.919789,1.946559,16.75152,19.510996,38.758278,0.441786,PSF-00336_20220815110300,0,0,0,130.848877,227.852707,0.42573,0.5,0.8,332.292084,50.83,43.64,28.39,28.56,101.13,156.2,155.3,0.6,1951,4.028,10:54:58,8/15/22,-0.44,-0.004,-0.001,-0.001,-2.074,-3.372,-14.285,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,207.138412,25,-14.685803,204.670792,206.872742,-2.20195,2.455824,2.453885,1.657673,0.927483,0.238347,0.001224,0.363693,1.884027,130.848877,0.001742,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110300,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
38,11:03:57,8/15/22,Auto gsw+F,LI-COR Default,,38,LCOR-490,12,0.596456,2.917412,0.495211,9.869837,1.973158,1.696255,3.930289,1.957131,16.769825,19.507391,38.856335,0.441786,PSF-00336_20220815110357,0,0,0,223.443741,349.308868,0.360326,0.5,0.8,285.525635,51.01,43.85,28.33,28.6,101.15,156.2,155.3,0.6,1981,4.026,10:54:58,8/15/22,-0.44,-0.004,-0.002,0.001,-2.131,-1.868,12.057,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,327.009552,25,-16.573978,323.570953,325.63147,-2.060516,2.456125,2.454144,1.657338,0.927506,0.238918,0.002526,0.366671,1.911092,223.443741,0.001764,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110357,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
39,11:04:59,8/15/22,Auto gsw+F,LI-COR Default,,39,LCOR-426,12,0.534477,2.918488,0.451747,9.020813,1.953659,1.700743,3.914869,1.96121,16.814362,19.314806,38.704266,0.441786,PSF-00336_20220815110459,0,0,0,180.850983,298.888672,0.394922,0.5,0.8,290.754303,50.79,44.22,28.23,28.54,101.15,156.3,155.5,0.5,1841,4.025,10:54:58,8/15/22,-0.44,-0.002,-0.001,0.005,-2.163,-3.896,-9.652,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,280.354156,25,-13.027493,279.523376,280.27774,-0.754364,2.456658,2.453879,1.65848,0.927951,0.239856,0.00291,0.369765,1.783178,180.850983,0.001829,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110459,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
40,11:06:50,8/15/22,Auto gsw+F,LI-COR Default,,40,LCOR-159,12,0.553599,2.91698,0.465293,9.159274,1.960508,1.703448,3.893794,1.933286,16.842726,19.38439,38.499619,0.441786,PSF-00336_20220815110650,0,0,0,143.779282,229.507721,0.373532,0.5,0.8,288.247803,51.26,44.54,28.13,28.44,101.14,156.1,154.8,0.8,1929,4.023,11:06:00,8/15/22,-0.45,0.003,0.001,-0.002,-1.13,-3.454,-12.009,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,212.556839,25,-12.755669,209.386826,211.28511,-1.898285,2.457123,2.454554,1.656881,0.926372,0.240778,0.002961,0.374724,1.863897,143.779282,0.002355,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110650,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
41,11:07:51,8/15/22,Auto gsw+F,LI-COR Default,,41,-,-,0.275332,2.916936,0.251584,6.235187,1.832994,1.657744,4.264367,2.431373,16.388561,18.12109,42.157799,0.441786,PSF-00336_20220815110751,0,0,0,112.048027,164.853668,0.320318,0.5,0.8,250.208008,48.06,43.47,28.08,30.02,101.15,156.1,153.3,1.8,1953,4.021,11:06:00,8/15/22,-0.45,0.001,0.003,0.01,-1.307,-2.441,-4.494,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,153.952362,25,-8.172056,151.200775,153.179169,-1.978394,2.455657,2.450179,1.656835,0.922614,0.241246,0.022917,0.377466,1.885395,112.048027,0.002531,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110751,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
42,11:08:45,8/15/22,Auto gsw+F,LI-COR Default,,42,LCOR-216,12,0.417435,2.916628,0.365171,7.59813,1.856146,1.642602,3.900795,2.044649,16.239996,18.351252,38.566177,0.441786,PSF-00336_20220815110845,0,0,0,254.755142,308.617523,0.174528,0.5,0.8,141.547028,48.74,43.14,28.06,28.47,101.15,156.1,141.4,9.4,2028,4.02,11:06:00,8/15/22,-0.45,0.001,-0.001,0.011,-1.395,-3.119,-7.388,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,304.05307,25,-3.285606,305.196045,303.923737,1.272308,2.455203,2.451122,1.65651,0.893383,0.241492,0.00425,0.380298,1.953488,254.755142,0.001821,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110845,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
43,11:09:58,8/15/22,Auto gsw+F,LI-COR Default,,43,LCOR-223,11,0.695642,2.91713,0.561696,11.40694,2.001934,1.681927,3.995197,1.993263,16.628044,19.791735,39.497749,0.441786,PSF-00336_20220815110958,0,0,0,102.1446,143.326126,0.287327,0.5,0.8,231.996185,52.55,44.15,28.07,28.89,101.15,156.1,155.5,0.4,2019,4.019,11:06:00,8/15/22,-0.45,0,0.002,0.013,-0.273,-0.793,-1.956,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,134.454132,25,-6.427091,132.894867,134.144455,-1.249588,2.456597,2.456326,1.65704,0.928094,0.241409,0.009182,0.383757,1.945291,102.1446,0.001805,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815110958,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
44,11:10:38,8/15/22,Auto gsw+F,LI-COR Default,,44,LCOR-453,11,0.641572,2.917467,0.525919,9.486588,1.9444,1.678223,3.717615,1.773216,16.593927,19.225834,36.759029,0.441786,PSF-00336_20220815111038,0,0,0,160.780914,287.965179,0.441665,0.5,0.8,317.110535,50.93,43.95,28.1,27.65,101.13,156.2,155.1,0.7,1795,4.018,11:06:00,8/15/22,-0.45,0.002,0.005,0.026,-3.622,-3.295,4.647,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,257.329346,25,-24.208771,246.799347,253.380798,-6.581451,2.456323,2.454103,1.657397,0.927102,0.241054,-0.00632,0.385508,1.741636,160.780914,0.001751,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815111038,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
45,11:12:07,8/15/22,Auto gsw+F,LI-COR Default,,45,LCOR-433,12,0.536099,2.915632,0.452836,8.76607,2.052766,1.806761,3.952104,1.899338,17.867844,20.300699,39.084076,0.441786,PSF-00336_20220815111207,0,0,0,156.584503,261.755432,0.401791,0.5,0.8,309.754089,53.42,47.01,28.22,28.7,101.12,156,154.6,0.9,1927,4.016,11:06:00,8/15/22,-0.45,0,0,0.01,-1.496,-0.26,7.942,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,233.375076,25,-22.395393,223.250275,229.761627,-6.511353,2.460495,2.457468,1.655457,0.925771,0.23999,0.005073,0.389245,1.862193,156.584503,0.001814,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815111207,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
46,11:13:13,8/15/22,Auto gsw+F,LI-COR Default,,46,LCOR-480,10,0.719159,2.916501,0.576904,11.220091,2.015707,1.700895,3.924781,1.909073,16.819027,19.931992,38.809547,0.441786,PSF-00336_20220815111313,0,0,0,139.5979,275.584076,0.493447,0.5,0.8,376.203979,52.34,44.16,28.25,28.58,101.13,156.1,155.5,0.4,1906,4.015,11:06:00,8/15/22,-0.45,0.004,0.002,0.007,0.922,3.663,9.286,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,242.338654,25,-24.21242,235.593445,240.994492,-5.401047,2.456578,2.455992,1.656375,0.928072,0.23964,0.003164,0.39178,1.842762,139.5979,0.001787,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815111313,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
47,11:14:14,8/15/22,Auto gsw+F,LI-COR Default,,47,LCOR-365,12,0.42795,2.918172,0.373218,8.136603,1.892278,1.664021,4.032226,2.139948,16.455982,18.713282,39.875847,0.441786,PSF-00336_20220815111414,0,0,0,167.012573,300.079376,0.443439,0.5,0.8,339.499084,49.06,43.14,28.28,29.04,101.12,156.3,127.6,18.4,1914,4.014,11:06:00,8/15/22,-0.45,0.003,0.004,0.004,-0.323,-2.978,-10.106,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,276.278625,25,-16.927896,275.021545,275.896362,-0.874817,2.45516,2.4515,1.658144,0.860365,0.239397,0.00855,0.394268,1.850061,167.012573,0.002043,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815111414,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
48,11:15:31,8/15/22,Auto gsw+F,LI-COR Default,,48,LCOR-419,11,0.542642,2.916833,0.457525,9.500273,1.931931,1.665261,3.970218,2.038287,16.469263,19.106602,39.265064,0.441786,PSF-00336_20220815111531,0,0,0,142.454269,249.946594,0.430061,0.5,0.8,332.278046,50.11,43.19,28.27,28.78,101.11,156.1,154.5,1,1932,4.012,11:06:00,8/15/22,-0.45,0.004,0,-9999,0.02,1.14,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,231.118439,25,-13.29202,229.685425,230.957764,-1.272339,2.455235,2.452944,1.656726,0.925638,0.239472,0.00537,0.39726,1.866055,142.454269,0.002024,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815111531,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
49,11:18:55,8/15/22,Auto gsw+F,LI-COR Default,,49,LCOR-315,12,0.23069,2.916574,0.213781,5.359271,1.900594,1.750105,4.356588,2.455995,17.310978,18.799517,43.092724,0.441786,PSF-00336_20220815111855,0,0,0,160.42543,239.406555,0.329904,0.5,0.8,241.964508,49.08,45.19,28.35,30.39,101.1,156.1,154.1,1.3,1834,4.007,11:16:18,8/15/22,-0.42,0,0.002,0.003,-1.859,-4.238,-10.622,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,228.183746,25,-7.959523,227.431305,228.035675,-0.60437,2.457972,2.45147,1.656453,0.92458,0.23875,0.024331,0.405628,1.776819,160.42543,0.002277,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815111855,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
50,11:20:15,8/15/22,Auto gsw+F,LI-COR Default,,50,LCOR-232,11,0.487363,2.916656,0.417586,5.999522,1.841476,1.6729,3.257502,1.416026,16.545433,18.21269,32.217567,0.441786,PSF-00336_20220815112015,0,0,0,93.70208,395.57959,0.763127,0.5,0.8,46.056057,47.5,43.15,28.37,25.41,101.11,156.1,155,0.7,151,4.006,11:16:18,8/15/22,-0.42,-0.002,0.001,0.013,-0.127,-0.201,-0.48,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,357.100006,25,-26.509243,359.704956,357.708771,1.996185,2.455156,2.449292,1.656539,0.926724,0.238575,-0.036202,0.408828,0.244198,93.70208,0.00226,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815112015,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
51,11:21:13,8/15/22,Auto gsw+F,LI-COR Default,,51,LCOR-521,11,0.556455,2.91864,0.467352,9.878546,1.94989,1.673026,4.02417,2.07428,16.544832,19.282789,39.795692,0.441786,PSF-00336_20220815112113,0,0,0,242.17308,344.95816,0.297964,0.5,0.8,241.097855,50.32,43.17,28.36,29.01,101.12,156.3,155.7,0.4,2023,4.005,11:16:18,8/15/22,-0.42,-0.001,0.001,0.002,-1.806,-4.491,-10.706,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,330.84906,25,-10.270941,330.06369,330.285217,-0.221527,2.455185,2.453165,1.658641,0.92864,0.238636,0.007142,0.410886,1.949215,242.17308,0.002002,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815112113,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
52,11:22:11,8/15/22,Auto gsw+F,LI-COR Default,,52,LCOR-374,12,0.643901,2.917424,0.527481,10.161093,1.991336,1.706418,3.882556,1.89122,16.876226,19.694014,38.3979,0.441786,PSF-00336_20220815112211,0,0,0,137.063736,292.793854,0.531876,0.5,0.8,381.304321,51.3,43.96,28.39,28.39,101.11,156.2,154.1,1.4,1792,4.003,11:16:18,8/15/22,-0.42,-0.002,0.002,0.012,-0.806,-1.663,-3.18,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,259.496582,25,-23.407892,256.482849,259.353607,-2.870758,2.456268,2.454503,1.657351,0.924449,0.238366,-0.000751,0.413232,1.739168,137.063736,0.002008,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815112211,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
53,11:24:16,8/15/22,Auto gsw+F,LI-COR Default,,53,LCOR-113,12,0.61074,2.916362,0.504987,9.069581,1.93355,1.678893,3.698875,1.765325,16.604946,19.123613,36.583405,0.441786,PSF-00336_20220815112416,0,0,0,195.32489,339.626495,0.424883,0.5,0.8,214.07048,49.37,42.87,28.54,27.56,101.11,156,154,1.3,1260,4.001,11:16:18,8/15/22,-0.42,0.004,0.002,0.011,-0.062,0.366,-3.759,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,325.562958,25,-9.699927,327.575317,325.769287,1.80603,2.454716,2.451813,1.656228,0.924426,0.236909,-0.012708,0.418306,1.254006,195.32489,0.002126,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815112416,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
54,11:26:49,8/15/22,Auto gsw+F,LI-COR Default,,54,LCOR-505,11,0.424534,2.917969,0.370613,8.583362,1.985756,1.745224,4.254747,2.268991,17.263885,19.643253,42.088284,0.441786,PSF-00336_20220815112649,0,0,0,138.779633,286.687317,0.51592,0.5,0.8,392.849548,50.61,44.48,28.57,29.98,101.09,156.2,155.5,0.5,1904,3.998,11:16:18,8/15/22,-0.42,-0.005,-0.005,-0.003,-0.418,1.869,10.17,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,248.847488,25,-28.041674,240.851639,246.627304,-5.775665,2.456939,2.45351,1.657928,0.92812,0.236628,0.016432,0.424483,1.840609,138.779633,0.00212,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815112649,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
55,11:28:39,8/15/22,Auto gsw+F,LI-COR Default,,55,LCOR-153,12,0.532683,2.918231,0.450458,9.603327,2.100134,1.831395,4.188186,2.088053,18.116972,20.775455,41.431396,0.441786,PSF-00336_20220815112839,0,0,0,148.799652,268.697693,0.446219,0.5,0.8,348.056335,52.77,46.02,28.82,29.7,101.09,156.3,155.7,0.4,1950,3.995,11:27:41,8/15/22,-0.46,0.003,0.004,0.016,-1.983,-3.327,-10.209,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,246.239655,25,-15.78587,245.389587,246.146179,-0.756592,2.458988,2.456443,1.658206,0.928557,0.234343,0.010024,0.428145,1.882865,148.799652,0.002103,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815112839,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
