3/8/23,Leaf area Living Carbon,,,,,,
,,,,,,,
row,column,ID,Leaf1_cm2,leaf2_cm2,leaf3_cm2,average_LA,
6,50,LCOR-457,no scan,,,,
7,50,LCOR-440,no scan,,,,
8,50,LCOR-501,no scan,,,,
9,50,LCOR-118,no scan,,,,
10,50,LCOR-262,no scan,,,,
11,50,LCOR-172,no scan,,,,
12,50,LCOR-081,no scan,,,,
13,50,LCOR-210,no scan,,,,
14,50,LCOR-417,no scan,,,,
15,50,LCOR-390,no scan,,,,
16,50,LCOR-1196,,,,,
1,51,LCOR-1019,,,,,
2,51,LCOR-1256,,,,,
3,51,LCOR-1167,,,,,
4,51,LCOR-219,no scan,,,,
5,51,LCOR-532,no scan,,,,
6,51,LCOR-431,no scan,,,,
7,51,LCOR-479,no scan,,,,
8,51,LCOR-1030,,,,,
9,51,LCOR-108,no scan,,,,
10,51,LCOR-312,no scan,,,,
11,51,LCOR-225,no scan,,,,
12,51,LCOR-329,no scan,,,,
13,51,LCOR-478,no scan,,,,
14,51,LCOR-567,no scan,,,,
15,51,LCOR-413,no scan,,,,
16,51,LCOR-1205,,,,,
1,52,LCOR-1041,,,,,
2,52,LCOR-1218,,,,,
3,52,LCOR-389,no scan,,,,
4,52,LCOR-246,no scan,,,,
5,52,LCOR-1050,,,,,
6,52,LCOR-430,no scan,,,,
7,52,LCOR-465,no scan,,,,
8,52,LCOR-1117,,,,,
9,52,LCOR-183,no scan,,,,
10,52,LCOR-1096,,,,,
11,52,LCOR-317,no scan,,,,
12,52,LCOR-215,no scan,,,,
13,52,LCOR-187,no scan,,,,
14,52,LCOR-1220,,,,,
15,52,LCOR-576,no scan,,,,
16,52,LCOR-1243,,,,,
1,53,LCOR-1065,,,,,
2,53,LCOR-1230,,,,,
3,53,LCOR-288,no scan,,,,
4,53,LCOR-407,no scan,,,,
5,53,LCOR-580,no scan,,,,
6,53,LCOR-566,no scan,,,,
7,53,LCOR-097,no scan,,,,
8,53,LCOR-1194,,,,,
9,53,LCOR-592,no scan,,,,
10,53,LCOR-451,no scan,,,,
11,53,LCOR-597,no scan,,,,
12,53,LCOR-1031,,,,,
13,53,LCOR-050,no scan,,,,
14,53,LCOR-444,no scan,,,,
15,53,LCOR-1032,,,,,
16,53,LCOR-1208,,,,,
1,54,LCOR-1074,,,,,
2,54,LCOR-590,no scan,,,,
3,54,LCOR-038,no scan,,,,
4,54,LCOR-1038,,,,,
5,54,LCOR-205,no scan,,,,
6,54,LCOR-1138,,,,,
7,54,LCOR-1252,,,,,
8,54,LCOR-1182,,,,,
9,54,LCOR-1107,,,,,
10,54,LCOR-1123,,,,,
11,54,LCOR-1133,,,,,
12,54,LCOR-1179,,,,,
13,54,LCOR-1190,,,,,
14,54,LCOR-1013,,,,,
15,54,LCOR-1251,,,,,
16,54,LCOR-1045,,,,,
1,55,LCOR-1084,,,,,
2,55,LCOR-1176,,,,,
3,55,LCOR-1055,,,,,
4,55,LCOR-1067,,,,,
5,55,LCOR-1146,,,,,
6,55,LCOR-1036,,,,,
7,55,LCOR-1157,,,,,
8,55,LCOR-1184,,,,,
9,55,LCOR-1232,,,,,
10,55,LCOR-1258,,,,,
11,55,LCOR-1012,,,,,
12,55,LCOR-1109,,,,,
13,55,LCOR-1000,,,,,
14,55,LCOR-1125,,,,,
15,55,LCOR-1130,,,,,
16,55,LCOR-1195,,,,,
