Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,Timepoint,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
65,11:00:59,6/27/23,Auto gsw+F,LI-COR Default,,65,LCOR-502,10,0.167497,2.920353,0.158411,2.485075,1.257301,1.187425,2.808056,1.550756,11.77003,12.46265,27.834093,0.441786,PSF-00281_20230627110059,0,0,0,67.474724,151.121674,0.553507,0.5,0.8,258.767242,41.79,39.46,24.08,22.93,100.89,156.5,157,-0.3,1169,3.906,17,-179,202,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:56:16,6/27/23,-0.73,0.002,0.003,-9999,0.402,0.857,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,141.102783,25,-6.825808,142.162079,141.343689,0.81839,2.475914,2.504625,1.659281,0.933087,0.282961,-0.011972,0.753099,1.193338,67.474724,0.001095,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627110059,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
66,11:01:57,6/27/23,Auto gsw+F,LI-COR Default,,66,LCOR-058,10,0.046802,2.918415,0.046063,1.080658,1.246556,1.216116,3.557367,2.310811,12.052718,12.354405,35.256451,0.441786,PSF-00281_20230627110157,0,0,0,84.630844,100.821358,0.160586,0.5,0.8,123.604538,41.44,40.43,24.07,26.9,100.9,156.3,156.8,-0.3,1924,3.906,-49,-175,110,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:56:16,6/27/23,-0.73,0.002,0.002,-9999,-1.4,-0.724,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,97.011925,25,-3.111218,95.440147,96.364525,-0.924377,2.477191,2.50415,1.657216,0.932742,0.282999,0.032664,0.754802,1.89588,84.630844,0.001079,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627110157,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
67,11:02:50,6/27/23,Auto gsw+F,LI-COR Default,,67,LCOR-585,10,0.106182,2.917421,0.102453,1.729008,1.248605,1.199866,2.916237,1.667631,11.891843,12.374898,28.90275,0.441786,PSF-00281_20230627110250,0,0,0,85.994843,170.723862,0.496293,0.5,0.8,225.236938,41.41,39.79,24.11,23.56,100.9,156.2,156.8,-0.4,1135,3.906,-44,165,55,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:56:16,6/27/23,-0.73,0,-0.001,-0.001,0.324,-0.713,-20.272,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,169.306396,25,-0.760339,171.700363,169.634674,2.065689,2.476343,2.504102,1.656162,0.932777,0.282553,-0.005471,0.756791,1.161569,85.994843,0.001093,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627110250,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
68,11:03:17,6/27/23,Auto gsw+F,LI-COR Default,,68,LCOR-059,10,0.228639,2.920811,0.212041,3.419806,1.30678,1.210689,2.900192,1.593413,11.998782,12.951108,28.742949,0.441786,PSF-00281_20230627110317,0,0,0,85.02388,261.690125,0.675097,0.5,0.8,43.29295,43.23,40.05,24.15,23.47,100.9,156.6,157.3,-0.5,160,3.904,-49,-112,234,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:56:16,6/27/23,-0.73,0,0.001,-9999,-0.284,-0.006,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,251.411682,25,-6.95737,254.73439,251.723663,3.010727,2.47668,2.506574,1.65977,0.934034,0.282085,-0.006948,0.757634,0.255597,85.02388,0.001098,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627110317,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
69,11:04:10,6/27/23,Auto gsw+F,LI-COR Default,,69,LCOR-230,10,0.139743,2.920407,0.133361,2.866986,1.305174,1.224595,3.423352,2.118179,12.137441,12.936089,33.930187,0.441786,PSF-00281_20230627110410,0,0,0,93.210342,122.155006,0.23695,0.5,0.8,22.084864,42.9,40.25,24.26,26.24,100.89,156.5,157.1,-0.3,233,3.901,-46,178,67,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:56:16,6/27/23,-0.73,-0.005,-0.004,-9999,4.577,2.728,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,117.148163,25,-3.787175,116.001602,116.729866,-0.728264,2.476924,2.506106,1.659338,0.933382,0.280868,0.023057,0.759131,0.323192,93.210342,0.001084,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627110410,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
70,11:07:38,6/27/23,Auto gsw+F,LI-COR Default,,70,LCOR-534,10,0.344574,2.918281,0.308185,4.886097,1.399669,1.262243,2.964667,1.564998,12.51074,13.872837,29.384338,0.441786,PSF-00281_20230627110738,0,0,0,67.139984,135.20993,0.503439,0.5,0.8,332.645813,45.27,40.82,24.53,23.83,100.89,156.3,157.1,-0.5,1652,3.898,-69,152,65,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:07:26,6/27/23,-0.74,0,0.002,0.021,0.075,-0.954,-17.04,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,126.687531,25,-5.808696,127.708557,126.888954,0.819603,2.477639,2.509289,1.657074,0.933473,0.277866,-0.007134,0.763638,1.642574,67.139984,0.001081,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627110738,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
71,11:10:28,6/27/23,Auto gsw+F,LI-COR Default,,71,LCOR-493,10,0.160167,2.918139,0.151834,2.874713,1.31568,1.234753,3.183229,1.867549,12.238875,13.041024,31.552185,0.441786,PSF-00281_20230627111028,0,0,0,99.693062,141.219009,0.294054,0.5,0.8,37.868408,42.33,39.73,24.62,25.02,100.89,156.3,156.4,-0.1,322,3.897,-77,169,168,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:07:26,6/27/23,-0.74,0.002,0.003,-9999,-0.886,1.831,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,130.872131,25,-8.066121,127.015472,129.664261,-2.648788,2.476172,2.505302,1.656924,0.931701,0.276902,0.005157,0.769187,0.405896,99.693062,0.001074,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627111028,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
72,11:11:35,6/27/23,Auto gsw+F,LI-COR Default,,72,LCOR-584,10,0.135216,2.920277,0.129232,2.392711,1.302836,1.235588,3.129581,1.826745,12.248066,12.914679,31.02273,0.441786,PSF-00281_20230627111135,0,0,0,97.757935,178.673996,0.45287,0.5,0.8,188.151779,42.1,39.93,24.55,24.73,100.88,156.5,156.8,-0.2,1039,3.895,-65,-163,353,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:07:26,6/27/23,-0.74,-0.002,-0.002,-9999,-1.815,-1.071,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,165.105347,25,-10.322639,161.141037,163.88678,-2.745743,2.47645,2.505001,1.6592,0.932788,0.277709,0.00278,0.770586,1.072361,97.757935,0.001057,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627111135,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
73,11:12:25,6/27/23,Auto gsw+F,LI-COR Default,,73,LCOR-616,10,0.218388,2.917935,0.203181,3.65289,1.360953,1.258139,3.134542,1.773589,12.469382,13.488373,31.06637,0.441786,PSF-00281_20230627111225,0,0,0,136.164673,263.300568,0.482855,0.5,0.8,186.205597,43.86,40.54,24.59,24.76,100.9,156.2,156.8,-0.4,964,3.892,-57,151,58,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:07:26,6/27/23,-0.74,0.002,0.002,0.01,0.256,0.328,-2.008,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,258.528473,25,-3.331698,261.101593,258.527893,2.5737,2.47726,2.507377,1.656706,0.932746,0.277198,0.002558,0.772313,1.003013,136.164673,0.001069,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627111225,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
74,11:15:47,6/27/23,Auto gsw+F,LI-COR Default,,74,LCOR-514,10,0.153825,2.919173,0.146125,2.239323,1.34964,1.286677,2.863327,1.513687,12.754408,13.378537,28.383213,0.441786,PSF-00281_20230627111547,0,0,0,77.588081,189.828079,0.591272,0.5,0.8,142.356705,42.71,40.72,24.9,23.25,100.88,156.4,156.7,-0.2,602,3.891,-18,150,119,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:07:26,6/27/23,-0.74,-0.002,-0.001,-9999,0.076,0.046,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,177.821869,25,-8.234884,178.566818,178.031586,0.535233,2.477438,2.505774,1.658023,0.932556,0.273855,-0.017607,0.779975,0.666226,77.588081,0.001095,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627111547,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
75,11:16:24,6/27/23,Auto gsw+F,LI-COR Default,,75,LCOR-290,10,0.298767,2.920053,0.271036,4.695394,1.39717,1.265315,3.105681,1.708511,12.54361,13.850744,30.787952,0.441786,PSF-00281_20230627111624,0,0,0,68.669556,160.324677,0.571684,0.5,0.8,293.101318,44.22,40.04,24.9,24.61,100.87,156.5,157.2,-0.5,1282,3.891,-5,172,141,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:07:26,6/27/23,-0.74,0.001,0.003,0.01,0.827,1.194,3.058,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,147.795441,25,-8.501637,149.849655,148.146057,1.703598,2.476547,2.507814,1.658961,0.933736,0.273867,-0.002589,0.780864,1.298399,68.669556,0.001103,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627111624,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
76,11:17:01,6/27/23,Auto gsw+F,LI-COR Default,,76,LCOR-309,10,0.056043,2.918626,0.054987,1.06399,1.289794,1.259849,3.198271,1.908476,12.489337,12.786191,31.705599,0.441786,PSF-00281_20230627111701,0,0,0,85.914017,183.795013,0.532555,0.5,0.8,287.708282,40.81,39.86,24.9,25.1,100.87,156.3,156.9,-0.4,1351,3.888,-65,178,302,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:07:26,6/27/23,-0.74,-0.001,-0.001,0.006,-6.305,-1.488,-28.459,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,173.045761,25,-7.458213,171.600586,173.111099,-1.510513,2.476306,2.503185,1.657441,0.933017,0.273827,0.00289,0.781922,1.362431,85.914017,0.001068,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627111701,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
77,11:19:03,6/27/23,Auto gsw+F,LI-COR Default,,77,LCOR-300,10,0.128366,2.919604,0.122959,1.675121,1.286815,1.239702,2.63444,1.347625,12.288787,12.755801,26.114399,0.441786,PSF-00281_20230627111903,0,0,0,99.74527,308.188171,0.676349,0.5,0.8,213.997147,41.04,39.53,24.77,21.88,100.88,156.4,157.1,-0.4,791,3.887,12,176,150,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:18:49,6/27/23,-0.72,0.001,0.003,0.015,0.183,0.393,0.031,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,295.587646,25,-8.663141,296.278595,295.778198,0.500397,2.475893,2.50349,1.658482,0.933496,0.275273,-0.031163,0.783278,0.842061,99.74527,0.00112,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627111903,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
78,11:20:00,6/27/23,Auto gsw+F,LI-COR Default,,78,LCOR-508,10,0.059539,2.918245,0.058348,0.970181,1.262004,1.23468,2.904798,1.642794,12.238675,12.509514,28.793585,0.441786,PSF-00281_20230627112000,0,0,0,50.024269,77.696899,0.356161,0.5,0.8,80.317963,40.54,39.66,24.64,23.49,100.88,156.3,156.4,0,564,3.885,-49,144,87,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:18:49,6/27/23,-0.72,0.001,0.004,-9999,-0.425,-4.073,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,72.003006,25,-3.985426,77.758667,71.987762,5.770905,2.476086,2.502832,1.657036,0.931547,0.276625,-0.012144,0.783682,0.630766,50.024269,0.001095,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627112000,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
79,11:22:07,6/27/23,Auto gsw+F,LI-COR Default,,79,LCOR-197,10,0.016048,2.919606,0.01596,0.311472,1.240207,1.231441,3.166317,1.92611,12.204631,12.291509,31.380896,0.441786,PSF-00281_20230627112207,0,0,0,51.169395,77.713028,0.34156,0.5,0.8,35.087746,40.05,39.77,24.56,24.93,100.9,156.4,156.4,0.1,257,3.883,11,162,144,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:18:49,6/27/23,-0.72,-0.001,0.003,-9999,2.291,2.639,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,76.270226,25,-0.864681,77.399612,76.474373,0.92524,2.476243,2.502178,1.658484,0.93157,0.277611,0.004874,0.786313,0.345331,51.169395,0.001121,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627112207,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
80,11:24:23,6/27/23,Auto gsw+F,LI-COR Default,,80,LCOR-322,10,0.098442,2.919558,0.095231,2.411248,1.368939,1.301167,3.85738,2.488441,12.896475,13.568188,38.232285,0.441786,PSF-00281_20230627112423,0,0,0,79.040054,107.732964,0.266334,0.5,0.8,203.732635,44,41.82,24.63,28.28,100.89,156.4,156.9,-0.3,1912,3.88,-31,176,86,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:18:49,6/27/23,-0.72,0.001,-0.001,-0.008,-0.342,-0.764,2.601,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,100.941895,25,-5.135461,99.007484,100.376396,-1.368912,2.478943,2.507541,1.658433,0.932947,0.276734,0.042369,0.790476,1.884824,79.040054,0.001063,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627112423,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
81,11:26:23,6/27/23,Auto gsw+F,LI-COR Default,,81,LCOR-537,10,0.049954,2.917573,0.049113,0.773905,1.252299,1.230489,2.810099,1.5578,12.196278,12.412458,27.852959,0.441786,PSF-00281_20230627112623,0,0,0,69.59832,139.253647,0.500205,0.5,0.8,90.776802,40.1,39.4,24.7,22.94,100.89,156.2,156.8,-0.4,454,3.877,-5,161,136,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:18:49,6/27/23,-0.72,0.001,0.002,-9999,0.07,0.667,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,134.727722,25,-3.083998,135.065674,134.835815,0.229858,2.475729,2.502219,1.656323,0.932788,0.27603,-0.018794,0.794742,0.528406,69.59832,0.001074,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627112623,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
82,11:29:56,6/27/23,Auto gsw+F,LI-COR Default,,82,LCOR-086,10,0.07749,2.919269,0.075486,1.41031,1.287476,1.247798,3.131106,1.84363,12.368025,12.761313,31.035158,0.441786,PSF-00281_20230627112956,0,0,0,100.718735,157.372772,0.359999,0.5,0.8,138.018723,41.28,40.01,24.68,24.74,100.89,156.4,156.5,-0.1,958,3.872,-30,174,119,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:29:36,6/27/23,-0.75,0,0.003,-9999,-4.166,-4.488,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,144.332535,25,-10.999504,137.721771,141.615952,-3.89418,2.476541,2.503875,1.658126,0.931942,0.27628,0.001417,0.797947,0.997786,100.718735,0.001083,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627112956,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
83,11:33:59,6/27/23,Auto gsw+F,LI-COR Default,,83,LCOR-093,10,0.159793,2.918768,0.151499,3.521891,1.484505,1.38556,3.769145,2.28464,13.731502,14.712087,37.353867,0.441786,PSF-00281_20230627113359,0,0,0,174.744492,224.821503,0.222741,0.5,0.8,165.249115,46.28,43.2,25.15,27.88,100.9,156.3,157.1,-0.5,1855,3.869,-14,145,140,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:29:36,6/27/23,-0.75,-0.004,0.002,-0.001,-1.148,-3.079,-11.913,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,219.184753,25,-4.291648,218.672638,218.673706,-0.001068,2.480659,2.510564,1.657592,0.933355,0.271149,0.031926,0.80804,1.831206,174.744492,0.001077,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627113359,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
84,11:37:08,6/27/23,Auto gsw+F,LI-COR Default,,84,LCOR-461,10,0.303955,2.920507,0.275302,6.09158,1.428271,1.257277,3.605191,2.17692,12.460596,14.155278,35.730251,0.441786,PSF-00281_20230627113708,0,0,0,85.031746,124.183266,0.315272,0.5,0.8,241.878296,43.54,38.33,25.52,27.12,100.9,156.6,152.8,2.4,1918,3.866,-51,-170,88,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:29:36,6/27/23,-0.75,0.005,-0.002,0.015,-4.381,4.467,-8.475,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,115.691544,25,-6.091782,114.287498,115.456772,-1.169273,2.474161,2.506805,1.659445,0.922464,0.267079,0.018824,0.814305,1.89006,85.031746,0.001054,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627113708,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
85,11:38:35,6/27/23,Auto gsw+F,LI-COR Default,,85,LCOR-232,10,0.069128,2.918688,0.067528,1.707691,1.243115,1.195024,3.731652,2.488537,11.844472,12.321121,36.986237,0.441786,PSF-00281_20230627113835,0,0,0,59.03363,81.268211,0.273595,0.5,0.8,210.44632,37.82,36.36,25.56,27.71,100.89,156.3,139.8,10.6,1923,3.866,-21,167,150,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:29:36,6/27/23,-0.75,-0.001,0.001,0,7.58,-1.633,3.243,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,76.761246,25,-3.138438,76.284531,76.772392,-0.487862,2.471519,2.498983,1.657507,0.890254,0.266731,0.025242,0.815855,1.894672,59.03363,0.001097,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627113835,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
86,11:39:36,6/27/23,Auto gsw+F,LI-COR Default,,86,LCOR-509,10,0.237301,2.919614,0.219463,3.582824,1.332563,1.231809,2.945108,1.612545,12.206528,13.204937,29.184334,0.441786,PSF-00281_20230627113936,0,0,0,71.979759,196.465042,0.633626,0.5,0.8,293.322174,40.58,37.51,25.54,23.72,100.91,156.4,153.5,1.9,1157,3.865,12,155,140,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:29:36,6/27/23,-0.75,0.005,0.004,-9999,0.603,1.33,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,186.688187,25,-6.663396,188.561432,186.919708,1.641724,2.47307,2.502779,1.658492,0.924295,0.266897,-0.019728,0.816634,1.182695,71.979759,0.001099,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627113936,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
87,11:41:15,6/27/23,Auto gsw+F,LI-COR Default,,87,LCOR-413,10,0.327318,2.9187,0.294313,4.275759,1.312496,1.192173,2.748734,1.436238,11.816446,13.009049,27.244595,0.441786,PSF-00281_20230627114115,0,0,0,91.280937,280.328827,0.674379,0.5,0.8,396.912018,40,36.33,25.53,22.58,100.89,156.3,157.4,-0.7,1471,3.862,-32,165,88,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:41:04,6/27/23,-0.72,0.002,0.003,0.021,0.362,-0.179,0.588,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,261.188873,25,-13.098147,261.301514,261.565704,-0.264191,2.471485,2.501937,1.65752,0.934146,0.26702,-0.032144,0.819558,1.474757,91.280937,0.00109,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627114115,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
88,11:42:16,6/27/23,Auto gsw+F,LI-COR Default,,88,LCOR-566,10,0.454025,2.92067,0.392941,5.671616,1.3602,1.200907,2.786634,1.426434,11.901986,13.48071,27.617851,0.441786,PSF-00281_20230627114216,0,0,0,76.72477,235.251862,0.673861,0.5,0.8,375.196198,41.41,36.56,25.55,22.81,100.9,156.6,155.1,0.9,1392,3.981,7,163,143,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,11:41:04,6/27/23,-0.72,0,0.003,0.009,0.197,0.354,1.153,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,220.556976,25,-10.07131,221.817612,220.824677,0.992935,2.471795,2.503868,1.659619,0.928393,0.266851,-0.029854,0.820875,1.400892,76.72477,0.001081,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627114216,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
89,12:27:08,6/27/23,Auto gsw+F,LI-COR Default,,89,LCOR-268,12,0.27574,2.920276,0.25195,5.356116,1.379446,1.229048,3.472134,2.092689,12.185051,13.676123,34.423492,0.441786,PSF-00281_20230627122708,0,0,0,87.505104,186.55687,0.530947,0.5,0.8,198.533218,38.88,34.64,26.85,26.48,100.87,156.5,156.8,-0.2,935,3.979,-28,-160,242,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:27:00,6/27/23,-0.81,0.002,0.003,0.015,0.234,0.18,-0.187,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,167.479996,25,-13.336774,165.193314,167.451904,-2.258591,2.469005,2.500338,1.659199,0.932772,0.253357,-0.003627,0.875145,0.975786,87.505104,0.00104,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627122708,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
90,12:28:11,6/27/23,Auto gsw+F,LI-COR Default,,90,LCOR-344,12,0.079514,2.919265,0.077406,2.100104,1.29414,1.235077,3.959252,2.665112,12.2457,12.831309,39.255703,0.441786,PSF-00281_20230627122811,0,0,0,68.647743,98.735718,0.304732,0.5,0.8,202.818832,36.27,34.61,26.95,28.73,100.86,156.4,156.7,-0.2,1664,3.975,-1,137,146,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:27:00,6/27/23,-0.81,0.001,0.003,-9999,-1.442,-0.857,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,93.726753,25,-3.467797,93.505386,93.768089,-0.262703,2.468953,2.496717,1.658121,0.932383,0.252385,0.021124,0.876417,1.653771,68.647743,0.001054,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627122811,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
91,12:29:40,6/27/23,Auto gsw+F,LI-COR Default,,91,LCOR-092,12,0.147033,2.918185,0.13998,3.538239,1.346348,1.246813,3.830118,2.48377,12.362888,13.34984,37.97789,0.441786,PSF-00281_20230627122940,0,0,0,95.49379,129.851547,0.264593,0.5,0.8,178.427261,37.5,34.73,27.05,28.16,100.85,156.3,156.9,-0.4,1686,3.975,-44,169,110,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:27:00,6/27/23,-0.81,0.002,0.002,-9999,-1.417,-3.588,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,122.704269,25,-5.657173,120.196579,121.747627,-1.551048,2.469091,2.498406,1.656972,0.932927,0.251332,0.013276,0.877971,1.674191,95.49379,0.001046,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627122940,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
