obs,time,elapsed,date,hhmmss,averaging,Group name,Control v transgenic,obs,ID,Leaf number,Plant age,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
120,1693257002,20592.5,20230828 14:10:01,14:10:01,5,232,Transgenic,120,LCOR-213,,,1693256994,0.003013964,3.01396357,12.51789485,396.2788667,302.2953704,30.67972336,40.21803572,0.239929454,2.954037934,0.229605148,0.144393793,49.58541758,25.08087261,24.87618,3.156280669,56.45727818,1.856963265,3.289147697,1.299317403,-132.9157935,110.3313526,7.918012828,34.91898955,12.51789485,3.01396357,12.8496309,416.3725555,403.3078182,0.003315485,67.22164008,3.039920106,15.37658942,18.35916667,0.000277307,78.55,19,3,1,0,53875.5562,-,0,0,0,#DIV/0!,0.5,RECT-918-20230828-14_09_59,8167.31,911.51532,2672.56,0.658935508,0.5,252.8715696,12.51789485,83.31302804,0.047525686,-1,#DIV/0!,DARK-919-20230828-14_10_05,660.73,660.73,0.752772623,0.875344676,4.044859474,0.658935508,#DIV/0!,0.63451099,0.36548901,299.9840667,252.8715696,0.842950002,0.165293504,6,0.5,0: Broadleaf,2,FALSE,1693256994,396.2788667,409.9909,18.29714667,15.33838,396.7628667,18.25514667,600.0101333,101.3892333,0.099993317,25.56896333,24.87618,999.9,0,0,10001.32333,0,246.9924333,299.9840667,0.900007167,0.099992763,0,911.7540333,5.00022,2853.201,2719.515333,36.4184,40.80166667,38.46223333,38.96226667,38.6187,265.4873333,29.49866667,0,362.5999999,0,911.51532,-45.39100006,-133.4523079,2852.648,15,1693257031,14:10:30,1693257030,1693257031,121,0.339,0,-0.484,0.042,410,15,0.29,0.04,100,100,-0.484,0.042,-1.313317037,0.000439478,2.00E-06,-3.80E-10,0.085236266,0,0,0,23,2006,0,18,5.6,5.8,1.07422,2.6355,1.39771,2.2644,1.39526,2.59155,35.9879,13.3703,18,578.55,366.341,24.9677,26.0512,30.0002,25.8693,26.2228,21.5252,8.94888,85.9449,-999.9,410,15.3425,98.8936,93.4888
121,1693257270,20861,20230828 14:14:30,14:14:30,5,232,Transgenic,121,LCOR-201,,,1693257262,0.002883617,2.883616847,13.17572474,395.6705,292.7327212,29.70766014,40.15418806,0.228295391,2.954097051,0.218927214,0.137639169,49.58703707,24.83295374,24.48141,3.082686752,54.96837918,1.777994999,3.234577816,1.304691753,-127.167503,128.3699006,9.181081559,59.97051625,13.17572474,2.883616847,13.22231264,416.073598,402.6196727,0.007354997,67.21697297,2.947789962,14.6780608,17.57438,-2.81E-05,78.55,0,0,1,0,53928.02701,-,0,0,0,#DIV/0!,0.5,RECT-920-20230828-14_14_27,8156.79,999.5028462,2735.2,0.634577784,0.5,252.8797546,13.17572474,80.23593711,0.050125502,-1,#DIV/0!,DARK-921-20230828-14_14_34,713.33,713.33,0.739203715,0.858461303,3.834410441,0.634577784,#DIV/0!,0.612670793,0.387329207,299.9937667,252.8797546,0.84295003,0.165293558,6,0.5,0: Broadleaf,2,FALSE,1693257262,395.6705,409.9881,17.51997,14.68669333,396.0115,17.48797,599.9617333,101.3841,0.099806583,25.28744333,24.48141,999.9,0,0,10002.16533,0,202.3537,299.9937667,0.8999992,0.10000082,0,999.4850667,5.00022,3113.779,2719.596667,36.7374,40.42046667,39.04546667,35.033,38.062,265.4936667,29.49966667,0,266,0,999.5028462,-23.45524788,-39.80478627,3113.658077,15,1693257300,14:14:59,1693257290,1693257300,122,0.143,0.002,-0.341,0.032,410,15,0.2,0.08,100,100,-0.341,0.032,-0.974433106,0.000439478,2.00E-06,-3.80E-10,-0.079133095,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,4,4,1.07422,2.62451,1.39771,2.26562,1.39526,2.44873,35.4291,13.0988,18,604.712,367.155,24.8274,26.0073,29.9997,25.8376,26.1875,21.5317,9.35665,70.8393,-999.9,410,14.7438,98.9076,93.5231
122,1693257602,21192.5,20230828 14:20:01,14:20:01,5,232,Transgenic,122,LCOR-282,,,1693257594,0.000348247,0.348246559,4.56214396,405.2888065,119.9505204,12.17202448,41.12683509,0.026204583,2.953896006,0.026076119,0.016309064,49.58561684,24.98975558,24.31979032,3.052992759,55.08808337,1.729725736,3.13992724,1.323267023,-15.35767326,74.74702011,5.328556988,114.3035207,4.56214396,0.348246559,4.541718394,416.9847039,412.4930727,-0.027707481,67.23037387,0.410140391,16.71571968,17.08399273,0.006503706,78.55,51,8,1,0,54012.16161,-,0,0,0,#DIV/0!,0.5,RECT-922-20230828-14_19_59,8177.52,1132.5164,2271.81,0.501491586,0.5,252.8730393,4.56214396,63.40685077,0.016063966,-1,#DIV/0!,DARK-923-20230828-14_20_05,707.6,707.6,0.688530291,0.728350797,3.210585076,0.501491586,#DIV/0!,0.455075992,0.544924008,299.985871,252.8730393,0.842949831,0.165293174,6,0.5,0: Broadleaf,2,FALSE,1693257594,405.2888065,409.9919032,17.04576774,16.70347097,405.9018065,16.96676774,600.0239355,101.3753548,0.10002379,24.78915806,24.31979032,999.9,0,0,10001.88677,0,326.5367742,299.985871,0.900011355,0.099988748,0,1133.990645,5.00022,3534.896452,2719.533548,35.63293548,39.10264516,37.75,33.73570968,36.9613871,265.4903226,29.49709677,0,329.2,0,1132.5164,-115.1169229,-354.7807684,3530.7544,15,1693257624,14:20:23,1693257624,1693257621,123,-0.273,0.009,-0.613,0.079,410,17,1.1,0.27,100,100,-0.613,0.079,-0.831506584,0.000439478,2.00E-06,-3.80E-10,-0.076702345,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,5.2,5,1.07788,2.62329,1.39771,2.26318,1.39526,2.63794,34.7379,12.8011,18,543.411,372.365,24.2716,25.8077,30,25.6705,26.0242,21.5834,0,74.1662,-999.9,410,22.6139,98.9376,93.539
123,1693257810,21400.5,20230828 14:23:29,14:23:29,5,232,Transgenic,123,LCOR-346,,,1693257802,0.000774079,0.774079093,7.594691992,402.0778065,206.4589808,20.94977524,40.79957985,0.064711694,2.953397103,0.06393419,0.040027946,49.58675444,25.14417647,24.60358387,3.10530071,59.78572777,1.907080325,3.189858845,1.198220384,-34.13688801,71.65829945,5.123365554,92.23153143,7.594691992,0.774079093,7.63832417,417.546614,409.8073576,-0.008534722,67.23247792,0.827251407,18.04006361,18.83887273,0.00239722,78.55,0,0,1,0,53949.50353,-,0,0,0,#DIV/0!,0.5,RECT-924-20230828-14_23_27,8169.31,1017.713462,2429.08,0.581029253,0.5,252.8793696,7.594691992,73.46515564,0.028055638,-1,#DIV/0!,DARK-925-20230828-14_23_33,665.13,665.13,0.726180282,0.800117089,3.652037947,0.581029253,#DIV/0!,0.522919171,0.477080829,299.9934516,252.8793696,0.842949632,0.165292789,6,0.5,0: Broadleaf,2,FALSE,1693257802,402.0778065,409.9834839,18.79418065,18.03467419,402.7278065,18.68318065,600.0193226,101.371871,0.099981484,25.05363226,24.60358387,999.9,0,0,9999.398387,0,309.3241613,299.9934516,0.900007032,0.099992916,0,1018.59,5.00022,3228.604194,2719.600645,36.12093548,39.9756129,37.98974194,36.32225806,37.87093548,265.4958065,29.49548387,0,206,0,1017.713462,-81.35487183,-242.7186325,3225.976154,15,1693257837,14:23:57,1693257837,1693257832,124,-0.036,0.009,-0.65,0.111,410,18,0.44,0.25,100,100,-0.65,0.111,-1.103993337,0.000439478,2.00E-06,-3.80E-10,-0.067935284,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,3.1,3.1,1.0791,2.61841,1.39771,2.27173,1.39526,2.65991,34.5321,12.6523,18,603.637,375.819,24.415,25.799,30.0003,25.6417,25.9959,21.6319,0,100,-999.9,410,22.3884,98.9338,93.5247
124,1693258002,21593,20230828 14:26:42,14:26:42,5,232,Transgenic,124,LCOR-062,,,1693257994,0.000314434,0.314433619,2.692063367,407.1826452,222.1778989,22.54513438,41.31818464,0.024232028,2.953169305,0.024122106,0.01508615,49.58911978,25.15259321,24.54181935,3.093850256,56.89787841,1.803052681,3.168927791,1.290797575,-13.86652261,63.90586043,4.565478494,104.1939361,2.692063367,0.314433619,2.624761429,417.2666195,414.4700182,0.027349279,67.23393198,0.372421202,17.45665106,17.81896061,0.00064519,78.55,9,2,1,0,53962.83617,-,0,0,0,#DIV/0!,0.5,RECT-926-20230828-14_26_39,8219.25,707.1546538,1204.66,0.412984034,0.5,252.885139,2.692063367,52.21876239,0.008668217,-1,#DIV/0!,DARK-927-20230828-14_26_46,490.8,490.8,0.592582139,0.696922851,2.454482478,0.412984034,#DIV/0!,0.483698627,0.516301373,299.9994516,252.885139,0.842952004,0.165297368,6,0.5,0: Broadleaf,2,FALSE,1693257994,407.1826452,410.0025806,17.76873226,17.45990323,407.6386452,17.67673226,600.034,101.3733226,0.100021452,24.94320968,24.54181935,999.9,0,0,9997.962258,0,332.5571935,299.9994516,0.899934,0.100066,0,708.0945806,5.00022,2260.052903,2719.593548,35.94125806,39.897,38.25,34.47348387,37.33435484,265.4793548,29.52,0,190.5999999,0,707.1546538,-76.33753851,-232.9545301,2257.149231,15,1693258020,14:27:00,1693258020,1693258020,125,0.194,-0.013,-0.456,0.092,410,17,1.26,0.2,100,100,-0.456,0.092,-1.140163145,0.000439478,2.00E-06,-3.80E-10,-0.053465536,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.8,2.8,1.07788,2.62085,1.39771,2.2644,1.39526,2.52808,34.4408,12.556,18,590.03,374.322,24.4186,25.8469,30.0003,25.6762,26.0325,21.5937,0,95.5372,-999.9,410,17.8598,98.9252,93.5084
125,1693258238,21829.1,20230828 14:30:38,14:30:38,5,232,Transgenic,125,LCOR-310,,,1693258230,0.00076408,0.76408041,7.630931907,402.0709032,198.6414003,20.1555896,40.79701465,0.062444624,2.953361232,0.061720306,0.038639568,49.58543127,25.01940061,24.39092903,3.066031951,58.13087112,1.840265049,3.16572763,1.225766902,-33.69594607,85.23800526,6.083921075,107.2114115,7.630931907,0.76408041,7.376601401,417.2798504,409.6074661,0.036121747,67.23183442,0.831897836,17.38326604,18.18697565,0.002432774,78.55,0,0,1,0,53971.40998,-,0,0,0,#DIV/0!,0.5,RECT-928-20230828-14_30_35,8154.21,1051.650385,2634.16,0.600764424,0.5,252.872821,7.630931907,75.95849734,0.028199677,-1,#DIV/0!,DARK-929-20230828-14_30_42,-232.8,-232.8,1.08837732,0.551981756,-11.31512027,0.600764424,#DIV/0!,-0.122190183,1.122190183,299.9857097,252.872821,0.842949557,0.165292645,6,0.5,0: Broadleaf,2,FALSE,1693258230,402.0709032,410.0087419,18.13654839,17.38635484,402.5519032,18.04554839,600.0232581,101.3671613,0.100053381,24.92627097,24.39092903,999.9,0,0,9999.659355,0,357.6251613,299.9857097,0.900016548,0.099983465,0,1051.760645,5.00022,3233.430645,2719.537097,35.93306452,39.883,38.25977419,33.48564516,37.08225806,265.4916129,29.49419355,0,233.8,0,1051.650385,-100.1035898,-289.5206839,3233,15,1693258259,14:30:59,1693258258,1693258259,126,-0.025,0,-0.481,0.091,410,17,1.11,0.08,100,100,-0.481,0.091,-0.946262264,0.000439478,2.00E-06,-3.80E-10,-0.066715005,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,3.6,3.6,1.07666,2.62329,1.39771,2.2644,1.39526,2.65869,34.3497,12.4684,18,604.305,375.217,24.4446,25.8621,30.0001,25.6892,26.0411,21.584,0,93.0972,-999.9,410,19.018,98.9197,93.5066
126,1693258450,22040.6,20230828 14:34:09,14:34:09,5,232,Transgenic,126,LCOR-296,,,1693258442,0.001451842,1.451842125,7.850326707,401.6073,282.9905791,28.71344587,40.74881046,0.114672063,2.952908572,0.112254371,0.070371957,49.58880475,24.50320628,23.93897333,2.984012876,54.86196216,1.702027393,3.102381552,1.281985483,-64.02623771,103.3004143,7.344938708,96.20792005,7.850326707,1.451842125,8.051924894,416.4009377,408.3788848,-0.033717767,67.23106052,1.256789419,15.31164794,16.64557818,-0.018312502,78.55,1,0,1,0,54019.40771,-,0,0,0,#DIV/0!,0.5,RECT-930-20230828-14_34_07,8168.12,939.3944,2403.08,0.609087338,0.5,252.8889504,7.850326707,77.01572879,0.029065432,-1,#DIV/0!,DARK-931-20230828-14_34_13,-225.13,-225.13,1.093683939,0.556913489,-10.67418825,0.609087338,#DIV/0!,-0.133466767,1.133466767,300.0047,252.8889504,0.842949962,0.165293426,6,0.5,0: Broadleaf,2,FALSE,1693258442,401.6073,410.04,16.77464,15.34727,402.0883,16.73364,600.0496,101.3643,0.100017153,24.58785667,23.93897333,999.9,0,0,9997.372333,0,338.1550667,300.0047,0.899996,0.100004,0,939.914,5.00022,2959.643333,2719.695,34.87053333,39.08103333,36.1747,35.9788,36.94123333,265.5036667,29.5,0,209.6000001,0,939.3944,-39.96992301,-134.5353844,2957.8812,15,1693258490,14:34:50,1693258258,1693258470,127,-0.025,-0.016,-0.481,0.041,410,16,1.11,0.2,100,100,-0.481,0.041,-0.97100528,0.000439478,2.00E-06,-3.80E-10,-0.067166128,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,3.2,3.2,1.07544,2.62939,1.39771,2.2644,1.39526,2.62939,34.2814,12.4071,18,599.455,374.265,24.232,25.8839,30.0001,25.7143,26.066,21.5396,7.06544,85.57,-999.9,410,15.5633,98.9097,93.5129
127,1693258726,22317.1,20230828 14:38:46,14:38:46,5,232,Transgenic,127,LCOR-279,,,1693258718,0.001117817,1.117817311,8.960839776,400.5867097,224.4297302,22.77184244,40.64567305,0.085728856,2.95332245,0.084369985,0.052851536,49.58452914,24.72210898,24.25111935,3.040451895,55.25075036,1.727724913,3.127061446,1.312726982,-49.29574341,74.72120709,5.324061577,80.33405439,8.960839776,1.117817311,8.872112508,416.6752712,407.6027576,0.012444081,67.23771036,1.155398517,15.94421001,17.07388667,0.001112,78.55,1,0,1,0,54007.54808,-,0,0,0,#DIV/0!,0.5,RECT-932-20230828-14_38_43,8161.13,1050.130769,2356.01,0.554275759,0.5,252.8684449,8.960839776,70.0794246,0.033459453,-1,#DIV/0!,DARK-933-20230828-14_38_50,682.13,682.13,0.710472366,0.780151045,3.453901749,0.554275759,#DIV/0!,0.506760156,0.493239844,299.9805484,252.8684449,0.842949472,0.165292481,6,0.5,0: Broadleaf,2,FALSE,1693258718,400.5867097,409.9950323,17.02773226,15.92898387,401.0677097,16.96973226,600.019129,101.3653548,0.100001023,24.72041613,24.25111935,999.9,0,0,9999.617419,0,273.2347419,299.9805484,0.900020065,0.099980026,0,1051.006452,5.00022,3307.184194,2719.492258,34.72967742,39.70935484,36.70729032,36.29003226,36.81406452,265.4883871,29.49290323,0,274.5999999,0,1050.130769,-65.28478624,-196.4088887,3304.676923,15,1693258767,14:39:26,1693258258,1693258747,128,-0.025,0.009,-0.481,0.058,410,16,1.11,0.15,100,100,-0.481,0.058,-0.97100528,0.000439478,2.00E-06,-3.80E-10,-0.083584089,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,7.8,4.3,1.07544,2.62939,1.39771,2.2644,1.39526,2.38281,34.1905,12.2845,18,599.927,375.849,24.1997,25.9211,30.0003,25.7455,26.0993,21.5465,3.20731,74.8284,-999.9,410,15.9667,98.8998,93.5136
128,1693259122,22712.6,20230828 14:45:21,14:45:21,5,232,Transgenic,128,LCOR-250,,,1693259114,0.001978571,1.978570829,8.17905104,401.0574194,307.0111047,31.14503435,40.68565244,0.154826819,2.953070168,0.150454468,0.094416596,49.5884461,25.32363712,24.87059032,3.155228007,56.45234762,1.854087774,3.284341311,1.301140233,-87.25497354,107.2637039,7.699212417,77.29638891,8.17905104,1.978570829,8.36996537,416.8460839,408.3251394,0.002680456,67.23872296,1.8966277,16.3066863,18.22518061,-0.010573801,78.55,42,7,1,0,53850.68078,-,0,0,0,#DIV/0!,0.5,RECT-934-20230828-14_45_19,8152.13,948.4608462,2129.13,0.554531266,0.5,252.8871351,8.17905104,70.11691157,0.030365527,-1,#DIV/0!,DARK-935-20230828-14_45_25,628.27,628.27,0.704917032,0.78666175,3.388877393,0.554531266,#DIV/0!,0.521092652,0.478907348,300.0025484,252.8871351,0.842949957,0.165293416,6,0.5,0: Broadleaf,2,FALSE,1693259114,401.0574194,410.0297097,18.27660645,16.33425806,401.4484194,18.21660645,600.0188065,101.3459677,0.099986081,25.54433226,24.87059032,999.9,0,0,10000.09806,0,294.9410968,300.0025484,0.900008097,0.099991797,0,948.6720968,5.00022,2968.435161,2719.685806,36.72154839,41.31809677,38.75993548,40.46348387,38.897,265.5041935,29.5,0,393.3999999,0,948.4608462,-19.23890599,-56.52683766,2967.847308,15,1693259146,14:45:45,1693259143,1693259146,129,0.09,-0.005,-0.391,0.06,410,16,0.44,0.05,100,100,-0.391,0.06,-0.97100528,0.000439478,2.00E-06,-3.80E-10,-0.07408909,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,14.4,6.2,1.07544,2.61841,1.39771,2.2644,1.39526,2.65381,34.3042,12.1532,18,553.501,376.161,24.8157,26.1948,30.0004,25.9673,26.3192,21.5427,3.04089,80.8838,-999.9,410,16.4476,98.8568,93.4712
129,1693259468,23059.1,20230828 14:51:08,14:51:08,5,232,Transgenic,129,LCOR-342,,,1693259460,0.00038063,0.380629832,2.379546145,407.4649667,255.6478521,25.93344535,41.33408656,0.026520815,2.95349846,0.026389222,0.016505032,49.58351581,25.49097717,24.88689,3.15829846,53.46037891,1.730386527,3.236764426,1.427911933,-16.78577559,65.58855185,4.701726598,103.0880187,2.379546145,0.380629832,2.350037578,416.9489041,414.6287515,-0.015200064,67.2374885,0.412365187,16.683255,17.08320303,0.000998724,78.55,1,0,1,0,53907.48885,-,0,0,0,#DIV/0!,0.5,RECT-936-20230828-14_51_05,8335.3,346.8828462,518.47,0.33094905,0.5,252.860916,2.379546145,41.84203994,0.007433122,-1,#DIV/0!,DARK-937-20230828-14_51_12,6211.73,6211.73,-10.98088607,-0.030138647,0.083466281,0.33094905,#DIV/0!,-0.539701344,1.539701344,299.9713,252.860916,0.842950362,0.165294199,6,0.5,0: Broadleaf,2,FALSE,1693259460,407.4649667,409.9994,17.05788,16.68377333,407.9819667,16.98088,600.0488,101.3420667,0.099995687,25.29880333,24.88689,999.9,0,0,10002.91467,0,281.0257333,299.9713,0.8999779,0.100021887,0,346.8397667,5.00022,1177.402,2719.37,33.38313333,38.39973333,35.4622,35.04973333,35.77893333,265.466,29.50033333,0,344,0,346.8828462,-4.339487173,-17.37299147,1177.410769,15,1693259491,14:51:31,1693259491,1693259486,130,-0.126,0.011,-0.517,0.077,410,17,1.27,0.28,100,100,-0.517,0.077,-0.881339156,0.000439478,2.00E-06,-3.80E-10,-0.07906819,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,5.4,5.4,1.07544,2.62085,1.39771,2.26562,1.39526,2.64282,34.5549,11.9956,18,599.859,376.4,25.0368,26.402,30.0003,26.1782,26.5319,21.5404,0,70.2226,-999.9,410,21.2475,98.8251,93.4468
130,1693259697,23287.6,20230828 14:54:56,14:54:56,5,232,Transgenic,130,LCOR-076,,,1693259689,0.001517025,1.517025234,9.223357243,400.1662903,264.7219053,26.85436606,40.59434385,0.11707598,2.954102671,0.114558054,0.071820499,49.59070923,25.24311244,24.72027419,3.127034929,55.96562493,1.816407134,3.245576435,1.310627795,-66.90081281,99.41775894,7.120991824,89.22864718,9.223357243,1.517025234,9.293986074,416.8589234,407.4369576,-0.005835284,67.23175738,1.630738375,16.42779538,17.99619697,0.006157195,78.55,16,3,1,0,53916.99461,-,0,0,0,#DIV/0!,0.5,RECT-938-20230828-14_54_54,8191.36,840.88892,2239.89,0.624584725,0.5,252.8999361,9.223357243,78.97871852,0.034493315,-1,#DIV/0!,DARK-939-20230828-14_55_00,557.53,557.53,0.751090455,0.831570579,4.017523721,0.624584725,#DIV/0!,0.551351711,0.448648289,300.0179032,252.8999361,0.842949482,0.1652925,6,0.5,0: Broadleaf,2,FALSE,1693259689,400.1662903,409.9962581,17.90557097,16.41577742,400.7272903,17.84257097,600.0275806,101.3436774,0.100009435,25.34451613,24.72027419,999.9,0,0,10006.18677,0,260.8604194,300.0179032,0.900020742,0.099979035,0,841.3806452,5.00022,2630.209355,2719.839032,34.62690323,39.59451613,36.70332258,36.61664516,36.74770968,265.5229032,29.49677419,0,226.0999999,0,840.88892,-55.81707684,-155.0676921,2628.6428,15,1693259732,14:55:31,1693259732,1693259722,131,-0.044,-0.009,-0.561,0.063,410,16,0.27,0.07,100,100,-0.561,0.063,-1.007778046,0.000439478,2.00E-06,-3.80E-10,-0.068162907,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,3.4,3.5,1.07544,2.62695,1.39771,2.26685,1.39526,2.55981,34.5777,11.8643,18,581.949,377.138,24.9927,26.4667,30.0002,26.2569,26.6076,21.539,4.65434,95.8712,-999.9,410,16.4513,98.8135,93.441
131,1693259933,23523.6,20230828 14:58:52,14:58:52,5,232,Transgenic,131,LCOR-511,,,1693259925,0.002965708,2.96570847,11.57945832,397.2642903,308.0954897,31.25528986,40.30117597,0.235096181,2.953687526,0.225173273,0.141589928,49.58896412,25.23123794,24.99415161,3.178569083,56.56287904,1.875720198,3.316168183,1.302848885,-130.7877435,113.4897792,8.156133892,40.44713366,11.57945832,2.96570847,11.82013525,416.513641,404.6061879,-0.021731439,67.24037441,2.895363459,15.58604233,18.4650897,-0.006974909,78.55,5,1,1,0,53839.49209,-,0,0,0,#DIV/0!,0.5,RECT-940-20230828-14_58_50,8180.83,912.8535769,2562.32,0.643739433,0.5,252.8924604,11.57945832,81.39842449,0.043810948,-1,#DIV/0!,DARK-941-20230828-14_58_56,677.2,677.2,0.735708264,0.874992798,3.783697578,0.643739433,#DIV/0!,0.649112999,0.350887001,300.0092258,252.8924604,0.842948945,0.165291464,6,0.5,0: Broadleaf,2,FALSE,1693259925,397.2642903,410.0214839,18.4897,15.57892581,397.6492903,18.4407,600.0204516,101.3467742,0.099987961,25.70685161,24.99415161,999.9,0,0,10003.52355,0,236.4180645,300.0092258,0.900045323,0.099954768,0,913.1025161,5.00022,2863.846452,2719.778065,35.625,40.5,37.84248387,37.31016129,37.806,265.5212903,29.49064516,0,233.5999999,0,912.8535769,-37.559829,-112.1381195,2863.189231,15,1693259965,14:59:25,1693259965,1693259961,132,0.176,-0.001,-0.385,0.049,410,16,0.62,0.06,100,100,-0.385,0.049,-1.051918325,0.000439478,2.00E-06,-3.80E-10,0.086451663,0,0,0,23,2006,0,18,3.4,3.5,1.07422,2.62451,1.39771,2.26562,1.39526,2.63916,34.7379,11.7066,18,595.247,376.077,25.2401,26.5406,30.0001,26.3267,26.6766,21.5188,7.99323,94.6575,-999.9,410,15.7463,98.8042,93.432
132,1693260136,23726.5,20230828 15:02:15,15:02:15,5,232,Transgenic,132,LCOR-041,,,1693260128,0.002244777,2.244777036,11.65816093,397.4711613,282.6229009,28.67022183,40.32081735,0.178000994,2.952371085,0.172246662,0.108155671,49.58654014,24.82995209,24.24579355,3.039481168,54.60362208,1.748636777,3.202419016,1.290844391,-98.99466729,139.0806859,9.932733351,99.60529209,11.65816093,2.244777036,11.47340694,416.2553355,404.4862485,0.026463417,67.23892399,2.293796972,15.02354858,17.27772424,-2.38E-05,78.55,0,0,1,0,53906.82216,-,0,0,0,#DIV/0!,0.5,RECT-942-20230828-15_02_13,8147.64,1035.870769,2656.41,0.610048611,0.5,252.8783791,11.65816093,77.13405196,0.044124614,-1,#DIV/0!,DARK-943-20230828-15_02_19,716.47,716.47,0.730286364,0.835355336,3.707636049,0.610048611,#DIV/0!,0.577781568,0.422218432,299.9922903,252.8783791,0.842949593,0.165292715,6,0.5,0: Broadleaf,2,FALSE,1693260128,397.4711613,410.0209032,17.23756452,15.03159677,397.9551613,17.20156452,600.0312258,101.3433548,0.1000234,25.11959032,24.24579355,999.9,0,0,9996.387742,0,331.2139677,299.9922903,0.900014839,0.099984826,0,1035.984194,5.00022,3205.118387,2719.596452,34.22551613,39.47358065,35.61890323,37.72154839,37.07232258,265.4967742,29.49516129,0,200.6000001,0,1035.870769,-27.71350427,-94.87794871,3204.795385,15,1693260161,15:02:40,1693260155,1693260161,133,-0.099,0,-0.484,0.036,410,15,0.35,0.05,100,100,-0.484,0.036,-0.875706424,0.000439478,2.00E-06,-3.80E-10,-0.078998237,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.8,2.9,1.073,2.61597,1.39771,2.26562,1.39526,2.49023,34.7837,11.549,18,602.462,375.198,25.0056,26.5017,29.9999,26.3209,26.6688,21.4958,9.57429,85.7238,-999.9,410,14.9901,98.811,93.4444
